category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"ABG & Acid-Base","abg-acid-base","Mixed metabolic and respiratory acidosis","hard","interpretation","high","ABG: pH 7.10, PaCO2 60 mm Hg, HCO3- 18 mEq/L. What best describes this pattern?","Mixed metabolic and respiratory acidosis","Acute respiratory acidosis with compensation","Metabolic acidosis with compensation","Chronic respiratory acidosis","A","The pH is severely acidemic. PaCO2 is elevated and HCO3- is low, indicating two primary acidifying processes occurring simultaneously.","A: Correct because both CO2 retention and bicarbonate loss are present. | B: HCO3- would be elevated, not decreased. | C: PaCO2 would be lower if compensating. | D: Chronic would show elevated HCO3-.","very low pH | high PaCO2 | low HCO3-","Assuming compensation when values move in opposite acidifying directions.","If both variables worsen pH in same direction, think mixed disorder.","pass"
"ABG & Acid-Base","abg-acid-base","Respiratory alkalosis from hyperventilation","medium","interpretation","moderate","ABG: pH 7.52, PaCO2 28 mm Hg, HCO3- 23 mEq/L. What is the primary disorder?","Acute respiratory alkalosis","Chronic respiratory alkalosis","Metabolic alkalosis","Mixed alkalosis","A","Elevated pH with low PaCO2 and near-normal HCO3- indicates acute respiratory alkalosis.","A: Correct acute pattern. | B: Chronic would show lower HCO3-. | C: HCO3- not elevated. | D: No dual primary process.","high pH | low PaCO2 | near normal HCO3-","Calling acute process chronic.","Check bicarbonate to assess chronicity.","pass"
"ABG & Acid-Base","abg-acid-base","Metabolic acidosis with respiratory acidosis overlap","hard","interpretation","high","ABG: pH 7.22, PaCO2 55 mm Hg, HCO3- 21 mEq/L. Using Winter formula, expected PaCO2 is approximately 1.5(21)+8=39.5. What does this indicate?","Superimposed respiratory acidosis","Appropriate compensation","Respiratory alkalosis","Normal acid-base state","A","Measured PaCO2 (55) is far above expected (≈40), indicating additional respiratory acidosis.","A: Correct because compensation is inadequate. | B: Compensation would match expected value. | C: PaCO2 elevated not decreased. | D: pH abnormal.","expected vs measured PaCO2","Not comparing measured to expected.","Use Winter formula to detect mixed disorder.","pass"
"ABG & Acid-Base","abg-acid-base","Chronic respiratory acidosis compensation","medium","interpretation","high","ABG: pH 7.36, PaCO2 65 mm Hg, HCO3- 36 mEq/L. What is most accurate?","Chronic respiratory acidosis with metabolic compensation","Acute respiratory acidosis","Metabolic alkalosis","Mixed disorder","A","Near-normal pH with markedly elevated PaCO2 and high HCO3- indicates chronic compensation.","A: Correct chronic pattern. | B: Acute would not elevate HCO3- this much. | C: PaCO2 elevated. | D: Values move in compensatory direction.","near normal pH | high PaCO2 | high HCO3-","Labeling it acute due to high CO2.","Magnitude of HCO3- rise suggests chronicity.","pass"
"ABG & Acid-Base","abg-acid-base","Primary metabolic alkalosis identification","medium","interpretation","moderate","ABG: pH 7.50, PaCO2 44 mm Hg, HCO3- 34 mEq/L. What is the primary disorder?","Metabolic alkalosis","Respiratory alkalosis","Mixed disorder","Normal ABG","A","Elevated pH with elevated bicarbonate indicates metabolic alkalosis.","A: Correct because HCO3- elevated. | B: PaCO2 not decreased. | C: No conflicting primary process. | D: pH abnormal.","high HCO3- | alkalemic pH","Confusing PaCO2 value.","Identify which variable matches pH.","pass"
"ABG & Acid-Base","abg-acid-base","Anion gap interpretation with albumin normal","hard","decision-making","high","Lab values: Na 138, Cl 104, HCO3- 12. What is the anion gap and interpretation?","22, high anion gap metabolic acidosis","12, normal gap","34, severe metabolic alkalosis","8, low gap acidosis","A","AG = 138 − (104+12)=22, elevated indicating high gap acidosis.","A: Correct math and interpretation. | B: Arithmetic incorrect. | C: Alkalosis not supported. | D: Not correct calculation.","Na minus Cl plus HCO3-","Calculation error.","Always compute before interpreting.","pass"
"ABG & Acid-Base","abg-acid-base","Delta gap concept introduction","hard","interpretation","moderate","A patient has AG 28 with normal baseline of 12. What is delta gap?","16","12","28","40","A","Delta gap equals measured AG minus normal AG: 28 − 12 = 16.","A: Correct calculation. | B: Confuses baseline. | C: Uses full AG. | D: Arithmetic error.","AG 28 | normal 12","Not subtracting baseline.","Delta gap helps assess mixed disorders.","pass"
"ABG & Acid-Base","abg-acid-base","Respiratory acidosis from hypoventilation cause","easy","decision-making","high","A patient is somnolent after opioid administration. ABG shows pH 7.28, PaCO2 60 mm Hg, HCO3- 26 mEq/L. What is most appropriate immediate action?","Support ventilation","Give diuretic","Administer bicarbonate","Increase oxygen only","A","Opioid-induced hypoventilation causes acute respiratory acidosis requiring ventilatory support.","A: Correct airway priority. | B: Not indicated. | C: Does not correct ventilation problem. | D: Oxygen does not eliminate CO2.","opioid | high PaCO2 | somnolent","Treating lab not ventilation.","Airway and ventilation first.","pass"
"ABG & Acid-Base","abg-acid-base","Metabolic acidosis from lactic acidosis","medium","interpretation","moderate","ABG: pH 7.29, PaCO2 30 mm Hg, HCO3- 14 mEq/L. Lactate elevated. What is primary disorder?","Metabolic acidosis","Respiratory alkalosis","Mixed alkalosis","Chronic respiratory acidosis","A","Low HCO3- with acidemia indicates metabolic acidosis. Low PaCO2 reflects compensation.","A: Correct primary process. | B: pH not alkalemic. | C: Not supported. | D: HCO3- low not elevated.","low HCO3- | lactate","Calling compensation primary disorder.","Primary process determined by HCO3-.","pass"
"ABG & Acid-Base","abg-acid-base","Oxygenation vs ventilation separation","medium","interpretation","high","ABG: pH 7.40, PaCO2 40 mm Hg, PaO2 50 mm Hg on room air. What does this indicate?","Isolated oxygenation problem","Primary ventilation failure","Metabolic disorder","Normal gas exchange","A","Normal pH and PaCO2 indicate adequate ventilation. Low PaO2 indicates isolated oxygenation defect.","A: Correct separation of functions. | B: CO2 normal. | C: No metabolic disturbance. | D: PaO2 abnormal.","PaCO2 normal | PaO2 low","Confusing ventilation with oxygenation.","Assess CO2 and O2 independently.","pass"
