category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Airway Management","airway-management","Upper airway obstruction recognition","medium","interpretation","high","A patient presents with inspiratory stridor, suprasternal retractions, and difficulty speaking full sentences. Which condition is most consistent with these findings?","Upper airway obstruction","Lower airway bronchospasm","Pulmonary edema","Metabolic acidosis","A","Inspiratory stridor and suprasternal retractions are classic signs of upper airway obstruction.","A: Correct because stridor indicates upper airway narrowing. | B: Bronchospasm causes expiratory wheezing not stridor. | C: Pulmonary edema causes crackles not stridor. | D: Metabolic acidosis does not cause stridor.","stridor | suprasternal retractions | inspiratory","Confusing wheezing with stridor.","Differentiate upper vs lower airway sounds.","pass"
"Airway Management","airway-management","Immediate airway intervention priority","hard","decision-making","high","A patient becomes unresponsive with gurgling respirations and visible vomitus in the mouth. What is the first action?","Suction the airway immediately","Begin chest compressions","Insert oral airway without suction","Administer naloxone","A","Airway patency must be restored first by removing obstruction.","A: Correct because suction clears obstruction. | B: No cardiac arrest described. | C: Inserting airway without clearing vomitus risks aspiration. | D: Naloxone is not first priority when airway is obstructed.","gurgling respirations | visible vomitus | first action","Skipping suction in obstructed airway.","Airway always precedes medications.","pass"
"Airway Management","airway-management","Oropharyngeal airway indication","medium","decision-making","moderate","In which patient is an oropharyngeal airway most appropriate?","Unconscious patient without gag reflex","Awake patient with intact gag reflex","Patient with trismus","Patient actively vomiting","A","OPAs are indicated in unconscious patients without a gag reflex.","A: Correct because absence of gag reflex allows safe insertion. | B: Intact gag reflex risks vomiting. | C: Trismus prevents insertion. | D: Vomiting increases aspiration risk.","unconscious | no gag reflex","Placing OPA in awake patient.","Assess gag reflex before OPA.","pass"
"Airway Management","airway-management","Nasopharyngeal airway contraindication","medium","recall","moderate","Which condition is a contraindication for nasopharyngeal airway placement?","Basilar skull fracture","Decreased level of consciousness","Need for frequent suctioning","Mild hypoxemia","A","NPAs are contraindicated in suspected basilar skull fracture due to risk of intracranial insertion.","A: Correct because skull base fracture increases risk. | B: Decreased LOC alone is not contraindication. | C: NPAs can assist suctioning. | D: Hypoxemia alone not contraindication.","basilar skull fracture","Using NPA in facial trauma.","Know trauma contraindications.","pass"
"Airway Management","airway-management","Endotracheal tube confirmation","hard","decision-making","high","After intubation, bilateral breath sounds are heard but epigastric sounds are absent. What is the most reliable method to confirm correct tube placement?","Continuous waveform capnography","Pulse oximetry","Chest rise observation","Chest radiograph hours later","A","Continuous waveform capnography is the most reliable immediate confirmation of tracheal placement.","A: Correct because sustained CO2 waveform confirms tracheal placement. | B: SpO2 may remain normal temporarily. | C: Chest rise can occur with esophageal ventilation. | D: X-ray confirms depth but not immediate placement reliability.","most reliable | confirm placement","Relying on breath sounds alone.","Capnography is gold standard confirmation.","pass"
"Airway Management","airway-management","Difficult airway predictor","medium","interpretation","high","Which finding predicts potential difficult intubation?","Mallampati class IV","Respiratory rate 24 per minute","Blood pressure 120/80 mm Hg","Oxygen saturation 96 percent","A","Mallampati class IV suggests limited oropharyngeal visualization and difficult intubation.","A: Correct because poor airway visualization predicts difficulty. | B: RR unrelated to anatomy. | C: BP unrelated. | D: SpO2 does not predict airway anatomy.","Mallampati IV","Ignoring airway assessment tools.","Use airway grading systems.","pass"
"Airway Management","airway-management","Cuffed tracheostomy tube purpose","medium","recall","moderate","What is the primary purpose of inflating the cuff on a tracheostomy tube in a mechanically ventilated patient?","Create a seal to allow positive pressure ventilation","Prevent all aspiration permanently","Improve vocalization","Reduce need for humidification","A","The cuff creates a seal to allow effective positive pressure ventilation.","A: Correct because cuff prevents air leak during ventilation. | B: Cuffs do not fully prevent aspiration. | C: Cuff inflation reduces speech. | D: Humidification is still required.","cuff | positive pressure","Believing cuff prevents all aspiration.","Understand mechanical ventilation requirements.","pass"
"Airway Management","airway-management","Laryngeal mask airway role","medium","decision-making","moderate","In a failed intubation scenario with adequate oxygenation by bag-mask ventilation, which device can be used as a rescue airway?","Laryngeal mask airway","Nasogastric tube","Chest tube","Simple face mask","A","LMAs are supraglottic devices used as rescue airways in difficult intubation.","A: Correct because LMA provides airway without tracheal intubation. | B: NG tube is for gastric decompression. | C: Chest tube unrelated. | D: Face mask not advanced airway.","failed intubation | rescue airway","Stopping after failed intubation without backup.","Know difficult airway algorithm steps.","pass"
"Airway Management","airway-management","Cricothyrotomy indication","hard","decision-making","high","A patient with severe facial trauma cannot be intubated or ventilated with bag-mask. Oxygen saturation is falling rapidly. What is the next step?","Perform emergency cricothyrotomy","Attempt repeated laryngoscopy","Insert nasopharyngeal airway","Wait for spontaneous recovery","A","Cannot intubate cannot ventilate scenario requires emergent surgical airway.","A: Correct because surgical airway is lifesaving in this scenario. | B: Repeated attempts waste time. | C: NPA unlikely to help in severe trauma. | D: Waiting is unsafe.","cannot intubate cannot ventilate","Delaying surgical airway.","Recognize CICO emergency.","pass"
"Airway Management","airway-management","Airway suctioning complication","medium","interpretation","moderate","During endotracheal suctioning, a patient develops bradycardia. What is the most likely cause?","Vagal stimulation","Hypokalemia","Beta agonist effect","Pulmonary embolism","A","Suctioning can stimulate the vagus nerve causing reflex bradycardia.","A: Correct because vagal response is common during suctioning. | B: Hypokalemia does not acutely cause bradycardia in this context. | C: Beta agonists cause tachycardia. | D: PE does not cause immediate bradycardia during suctioning.","bradycardia during suctioning","Ignoring vagal response.","Recognize procedural complications.","pass"
