category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Airway Management","airway-management","Unilateral breath sounds after intubation","medium","decision-making","high","Immediately after intubation, breath sounds are absent on the left but present on the right. Oxygen saturation is stable. What is the most likely cause?","Right mainstem intubation","Left pneumothorax","Severe bronchospasm","Esophageal intubation","A","The right main bronchus is more vertical, making right mainstem intubation the most common cause of unilateral breath sounds.","A: Correct because ETT often advances into right mainstem. | B: Pneumothorax usually presents with instability or rising pressures. | C: Bronchospasm causes bilateral wheezing. | D: Esophageal intubation would cause absent bilateral breath sounds and poor oxygenation.","absent left sounds | post-intubation","Jumping to pneumothorax before checking tube depth.","After intubation, always suspect mainstem first.","pass"
"Airway Management","airway-management","Cricothyrotomy indication","hard","decision-making","high","A trauma patient with massive facial injuries cannot be intubated and cannot be ventilated with bag-mask ventilation. What is the next step?","Perform emergency cricothyrotomy","Attempt repeated laryngoscopy","Insert nasopharyngeal airway","Wait for anesthesia consult","A","In a cannot-intubate, cannot-ventilate scenario, emergency surgical airway is indicated.","A: Correct life-saving intervention. | B: Repeated attempts waste time and worsen hypoxia. | C: NPA unlikely to bypass severe trauma. | D: Waiting is unsafe.","cannot intubate | cannot ventilate","Delaying surgical airway in CICO scenario.","CICO = immediate surgical airway.","pass"
"Airway Management","airway-management","Auto-PEEP recognition","hard","interpretation","high","A ventilated COPD patient develops hypotension and high intrinsic PEEP is suspected. What ventilator waveform finding supports auto-PEEP?","Expiratory flow not returning to baseline before next breath","High plateau pressure","Sudden drop in tidal volume","Low peak inspiratory pressure","A","Failure of expiratory flow to reach zero indicates air trapping and intrinsic PEEP.","A: Correct because incomplete exhalation defines auto-PEEP. | B: Plateau relates to compliance. | C: Tidal volume may remain unchanged. | D: Auto-PEEP often raises pressures.","COPD | expiratory flow baseline","Ignoring flow waveform.","Check flow-time curve for trapped air.","pass"
"Airway Management","airway-management","Rapid sequence intubation goal","medium","recall","moderate","What is the primary goal of rapid sequence intubation?","Minimize aspiration risk during airway placement","Improve lung compliance","Increase tidal volume","Correct metabolic acidosis","A","RSI uses sedation and paralysis to quickly secure airway while minimizing aspiration risk.","A: Correct purpose of RSI. | B: Compliance not primary goal. | C: Tidal volume unrelated. | D: RSI does not treat metabolic acidosis.","RSI | aspiration risk","Overcomplicating RSI purpose.","RSI = protect airway from aspiration.","pass"
"Airway Management","airway-management","Esophageal intubation confirmation","medium","decision-making","high","Which finding most reliably confirms esophageal intubation?","Absent end-tidal CO2 waveform after several breaths","Bilateral chest rise","Normal oxygen saturation initially","Fogging in the tube","A","Persistent absence of CO2 waveform indicates lack of tracheal placement.","A: Correct because ETCO2 is gold standard confirmation. | B: Chest rise can occur with gastric inflation. | C: SpO2 may remain normal briefly. | D: Fogging is unreliable.","no ETCO2 waveform","Relying on chest rise alone.","ETCO2 confirmation is critical.","pass"
"Airway Management","airway-management","Laryngeal mask airway limitation","medium","interpretation","moderate","Which condition is a relative contraindication to laryngeal mask airway placement?","High aspiration risk","Short surgical procedure","Spontaneously breathing patient","Need for short-term airway","A","LMAs do not protect against aspiration and are relatively contraindicated in high-risk patients.","A: Correct because aspiration protection is limited. | B: Short procedures acceptable. | C: Spontaneous breathing is appropriate. | D: Short-term airway acceptable use.","aspiration risk","Using LMA in full stomach patient.","Know LMA limitations.","pass"
"Airway Management","airway-management","Airway obstruction pattern","medium","interpretation","moderate","A flow-volume loop shows flattened inspiratory limb with normal expiratory curve. What does this suggest?","Variable extrathoracic obstruction","Variable intrathoracic obstruction","Restrictive lung disease","Normal study","A","Flattened inspiratory limb indicates variable extrathoracic obstruction such as vocal cord dysfunction.","A: Correct interpretation. | B: Intrathoracic obstruction affects expiratory limb. | C: Restriction reduces volumes but not flattening pattern. | D: Pattern is abnormal.","flattened inspiratory limb","Confusing intrathoracic vs extrathoracic patterns.","Inspiratory flattening = extrathoracic.","pass"
"Airway Management","airway-management","Bag-mask ventilation difficulty","hard","decision-making","high","During bag-mask ventilation, high resistance and poor chest rise are noted. What is the most appropriate first adjustment?","Reposition head and ensure proper mask seal","Increase oxygen flow","Administer diuretic","Lower respiratory rate","A","Improper positioning and mask seal are common causes of ineffective bagging.","A: Correct because airway positioning improves patency. | B: Flow alone will not fix obstruction. | C: Diuretics irrelevant. | D: Rate change not primary issue.","poor chest rise | bag-mask","Ignoring simple airway positioning.","Start with positioning before escalating.","pass"
"Airway Management","airway-management","Post-intubation hypotension cause","hard","interpretation","high","A patient becomes hypotensive immediately after intubation. Breath sounds are equal and airway pressures normal. What is the most likely cause?","Sedation-induced vasodilation","Tension pneumothorax","Mainstem intubation","Ventilator malfunction","A","Induction agents can cause vasodilation and decreased preload leading to hypotension.","A: Correct common cause. | B: Would show unequal sounds or high pressures. | C: Usually not hypotensive if stable. | D: No equipment issue indicated.","post-intubation hypotension | equal sounds","Assuming pneumothorax without signs.","Consider medication effects first.","pass"
"Airway Management","airway-management","Heliox indication","medium","decision-making","moderate","Heliox therapy is most beneficial in which airway condition?","Severe upper airway obstruction","Pulmonary edema","Metabolic acidosis","Pleural effusion","A","Helium reduces airflow resistance in obstructed upper airways due to lower density.","A: Correct because heliox decreases turbulent airflow resistance. | B: Does not treat fluid overload. | C: Does not correct acid-base disorders. | D: Does not remove pleural fluid.","heliox | turbulent flow","Using heliox for alveolar disease.","Heliox reduces resistance, not shunt.","pass"
