category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Infection Control & Safety","infection-control-safety","Contact precautions indication","medium","recall","high","A patient is diagnosed with Clostridioides difficile infection. Which precaution is required?","Contact precautions with gown and gloves","Droplet precautions only","Airborne isolation","Standard precautions only","A","C. difficile spreads via contact with contaminated surfaces and requires gown and gloves.","A: Correct transmission-based precaution. | B: Droplet precautions are not sufficient. | C: Not airborne transmission. | D: Standard precautions alone are inadequate.","C. difficile | contact","Confusing droplet with contact spread.","Match pathogen to transmission route.","pass"
"Infection Control & Safety","infection-control-safety","Alcohol vs soap for C. difficile","hard","decision-making","high","After caring for a patient with C. difficile, what is the preferred hand hygiene method?","Soap and water","Alcohol-based hand rub only","Gloves removal without washing","Disinfectant wipes only","A","C. difficile spores are resistant to alcohol; soap and water are required to remove spores.","A: Correct for spore-forming organisms. | B: Alcohol does not reliably kill spores. | C: Gloves do not replace hand hygiene. | D: Surface wipes are not hand hygiene.","spores | C. difficile","Using alcohol for spore-forming organisms.","Spore-formers require soap and water.","pass"
"Infection Control & Safety","infection-control-safety","Droplet mask distance","medium","interpretation","moderate","At what approximate distance can large respiratory droplets typically travel before settling?","About 3 to 6 feet","More than 50 feet","Less than 6 inches only","Indefinitely suspended","A","Large droplets generally travel short distances of about 3 to 6 feet before settling.","A: Correct droplet spread range. | B: That suggests airborne transmission. | C: Underestimates droplet range. | D: Describes airborne particles.","3 to 6 feet","Confusing droplet with airborne spread.","Distance helps classify transmission type.","pass"
"Infection Control & Safety","infection-control-safety","Immunocompromised protective environment","hard","decision-making","moderate","A bone marrow transplant patient requires protection from environmental pathogens. What room type is appropriate?","Positive pressure room with HEPA filtration","Negative pressure airborne isolation","Standard room with curtain","Droplet isolation room","A","Positive pressure rooms prevent outside air from entering and protect immunocompromised patients.","A: Correct protective environment. | B: Negative pressure protects others from patient. | C-D: Do not provide protective airflow.","immunocompromised | protective environment","Confusing positive vs negative pressure.","Determine who needs protection: patient or staff.","pass"
"Infection Control & Safety","infection-control-safety","PPE removal sequence","hard","recall","moderate","Which item should generally be removed first when doffing PPE after contact isolation?","Gloves","Respirator","Face shield","Gown last","A","Gloves are typically the most contaminated and are removed first to reduce self-contamination.","A: Correct first removal step. | B-C: Removed after gloves. | D: Gown is not last in most sequences.","PPE removal","Removing mask first.","Follow contamination risk order.","pass"
"Infection Control & Safety","infection-control-safety","OSHA bloodborne pathogen standard","medium","recall","moderate","The OSHA Bloodborne Pathogens Standard is primarily designed to protect workers from exposure to what?","HIV, HBV, and HCV","Influenza virus","Tuberculosis","Fungal infections","A","The standard addresses occupational exposure to bloodborne viruses including HIV, HBV, and HCV.","A: Correct regulated pathogens. | B-D: Not primary bloodborne focus.","bloodborne pathogens","Assuming airborne diseases fall under this standard.","Differentiate bloodborne vs airborne standards.","pass"
"Infection Control & Safety","infection-control-safety","Surgical mask purpose","medium","interpretation","moderate","What is the primary function of a surgical mask?","Block large respiratory droplets","Filter all airborne particles","Provide oxygen enrichment","Replace respirator protection","A","Surgical masks block large droplets but do not provide airborne-level filtration.","A: Correct mask function. | B: Requires N95 respirator. | C-D: Not mask purpose.","surgical mask","Thinking surgical mask equals N95.","Match PPE to protection level.","pass"
"Infection Control & Safety","infection-control-safety","Biohazard spill response","hard","decision-making","moderate","A blood spill occurs on the floor of a patient room. What is the appropriate first step?","Don appropriate PPE before cleaning","Wipe immediately with paper towel","Call housekeeping without PPE","Ignore small spills","A","PPE protects healthcare workers from exposure during cleanup.","A: Correct safety step. | B-D: Unsafe exposure risk.","blood spill","Cleaning before PPE.","Protect self before cleanup.","pass"
"Infection Control & Safety","infection-control-safety","Respiratory equipment cleaning classification","medium","interpretation","high","Reusable respiratory equipment that contacts mucous membranes requires which level of processing?","High-level disinfection","Low-level disinfection","Surface wiping only","No cleaning required","A","Semi-critical items contacting mucous membranes require high-level disinfection.","A: Correct classification. | B: Insufficient for mucous membrane contact. | C-D: Unsafe practices.","mucous membranes","Underestimating equipment classification.","Know Spaulding classification.","pass"
"Infection Control & Safety","infection-control-safety","Isolation signage purpose","medium","interpretation","moderate","What is the primary purpose of isolation precaution signage outside a patient room?","Communicate required PPE and precautions","Protect patient privacy only","Increase ventilation rate","Replace staff education","A","Signage ensures healthcare workers and visitors follow proper precautions.","A: Correct communication function. | B-D: Not primary purpose.","isolation signage","Thinking signage is optional.","Communication prevents transmission.","pass"
