category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Mechanical Ventilation","mechanical-ventilation","Driving pressure interpretation","hard","interpretation","high","An ARDS patient is on VT 6 mL/kg PBW and PEEP 10. Plateau pressure is 30 cm H2O. What is the driving pressure?","20 cm H2O","30 cm H2O","10 cm H2O","40 cm H2O","A","Driving pressure equals plateau minus PEEP (30 − 10 = 20).","A: Correct calculation. | B: Plateau alone is not driving pressure. | C: Incorrect subtraction. | D: No physiologic basis.","plateau 30 | PEEP 10","Forgetting formula.","Driving pressure = Pplat − PEEP.","pass"
"Mechanical Ventilation","mechanical-ventilation","High plateau management in ARDS","hard","decision-making","high","An ARDS patient has plateau pressure 34 cm H2O on VT 6 mL/kg PBW. PaCO2 is 48 mm Hg and pH 7.31. What is the most appropriate adjustment?","Reduce tidal volume further","Increase tidal volume to improve ventilation","Decrease PEEP","Increase respiratory rate significantly","A","Plateau above 30 requires further lung-protective reduction of tidal volume even if hypercapnia worsens.","A: Correct lung-protective step. | B: Increases injury risk. | C: PEEP may be necessary for oxygenation. | D: Rate change does not reduce plateau.","plateau 34 | ARDS","Prioritizing CO2 over lung protection.","Protect lung first, tolerate permissive hypercapnia.","pass"
"Mechanical Ventilation","mechanical-ventilation","Permissive hypercapnia concept","medium","interpretation","moderate","A ventilated ARDS patient has pH 7.28 and PaCO2 55 mm Hg with adequate oxygenation. Hemodynamics are stable. What is the best interpretation?","Permissive hypercapnia is acceptable","Immediate sodium bicarbonate is required","Increase VT to normalize CO2","Extubate patient","A","Mild hypercapnia is acceptable in lung-protective strategies if pH remains tolerable.","A: Correct strategy. | B: Bicarbonate not first-line here. | C: Increasing VT risks injury. | D: Patient is critically ill.","pH 7.28 | ARDS","Overcorrecting CO2.","Accept moderate hypercapnia.","pass"
"Mechanical Ventilation","mechanical-ventilation","Recruitment maneuver risk","hard","decision-making","moderate","During a recruitment maneuver, a patient becomes hypotensive. What is the most likely mechanism?","Reduced venous return from increased intrathoracic pressure","Improved cardiac preload","Sudden bronchospasm","Increased systemic vascular resistance","A","High airway pressures reduce venous return and cardiac output.","A: Correct physiologic explanation. | B: Opposite effect. | C: Not typical in recruitment maneuver. | D: SVR not primary mechanism.","recruitment | hypotension","Ignoring hemodynamic consequences.","High pressure reduces preload.","pass"
"Mechanical Ventilation","mechanical-ventilation","PEEP titration goal","medium","decision-making","high","In moderate ARDS, increasing PEEP improves PaO2 without raising plateau pressure. What does this suggest?","Improved alveolar recruitment","Worsening compliance","Overdistension","Ventilator malfunction","A","Improved oxygenation without plateau rise suggests recruitment rather than overdistension.","A: Correct physiologic response. | B: Compliance likely improved not worsened. | C: Overdistension raises plateau. | D: No evidence of malfunction.","PEEP increase | no plateau rise","Fear of PEEP despite improvement.","Assess plateau with oxygen response.","pass"
"Mechanical Ventilation","mechanical-ventilation","Prone positioning indication","hard","decision-making","high","An ARDS patient on FiO2 0.80 and PEEP 12 has PaO2 58 mm Hg. Lung-protective settings are optimized. What intervention improves mortality in severe ARDS?","Prone positioning","Increase tidal volume","Decrease PEEP","Immediate extubation trial","A","Prone positioning improves oxygenation and survival in severe ARDS.","A: Correct evidence-based intervention. | B: Violates lung protection. | C: May worsen oxygenation. | D: Not appropriate.","FiO2 0.80 | PaO2 58","Forgetting prone therapy.","Know mortality-reducing interventions.","pass"
"Mechanical Ventilation","mechanical-ventilation","Mean airway pressure effect","medium","interpretation","moderate","Which change most directly increases mean airway pressure?","Increasing PEEP","Decreasing FiO2","Reducing respiratory rate","Lowering tidal volume","A","PEEP increases baseline pressure and mean airway pressure.","A: Correct effect. | B: FiO2 does not change pressure. | C: Rate not primary driver of MAP. | D: Lower VT decreases MAP.","mean airway pressure","Confusing oxygen and pressure.","MAP increases with PEEP.","pass"
"Mechanical Ventilation","mechanical-ventilation","ARDS compliance trend","hard","interpretation","moderate","Over several days, plateau pressure decreases while oxygenation improves at same PEEP and VT. What does this indicate?","Improved lung compliance","Worsening lung stiffness","Airway obstruction","Auto-PEEP development","A","Lower plateau at same VT reflects improved compliance.","A: Correct physiologic interpretation. | B: Opposite. | C: Resistance issue affects peak not plateau. | D: Auto-PEEP increases pressure.","plateau decreasing","Misreading pressure trends.","Trend analysis is key.","pass"
"Mechanical Ventilation","mechanical-ventilation","Driving pressure mortality association","hard","interpretation","moderate","Which ventilator parameter has been strongly associated with mortality in ARDS?","Driving pressure","FiO2 alone","Respiratory rate","Inspiratory flow pattern","A","Elevated driving pressure correlates with worse outcomes in ARDS.","A: Correct evidence-based association. | B: FiO2 alone not predictive. | C: Rate not primary mortality driver. | D: Flow pattern less impactful.","driving pressure","Focusing only on FiO2.","Know outcome predictors.","pass"
"Mechanical Ventilation","mechanical-ventilation","PEEP-induced overdistension recognition","hard","interpretation","high","After increasing PEEP, plateau pressure rises significantly and compliance worsens while oxygenation changes minimally. What is most likely occurring?","Alveolar overdistension","Improved recruitment","Reduced airway resistance","Ventilator disconnection","A","Rising plateau with minimal oxygen benefit suggests overdistension rather than recruitment.","A: Correct recognition. | B: Recruitment improves compliance. | C: Resistance affects peak mainly. | D: Disconnection lowers pressure.","PEEP increase | plateau rise","Assuming higher PEEP always helps.","Balance recruitment vs overdistension.","pass"
