category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Neonatal & Pediatrics","neonatal-peds","Persistent pulmonary hypertension of the newborn","hard","interpretation","high","A term newborn has severe hypoxemia that does not improve with 100 percent oxygen. Preductal saturation is significantly higher than postductal saturation. What condition is most likely?","Persistent pulmonary hypertension of the newborn","Respiratory distress syndrome","Transient tachypnea of the newborn","Mild pneumonia","A","Preductal and postductal saturation difference with refractory hypoxemia suggests right-to-left shunting from PPHN.","A: Correct because shunting through ductus arteriosus causes differential saturation. | B: RDS does not cause differential pre/postductal saturations. | C: TTN is usually mild and improves with oxygen. | D: Pneumonia does not cause classic differential cyanosis pattern.","preductal vs postductal | refractory hypoxemia","Ignoring differential saturation clue.","Think shunt when oxygen does not improve PaO2.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal surfactant deficiency","medium","interpretation","high","A 28-week premature infant develops grunting, nasal flaring, and diffuse ground-glass infiltrates on chest radiograph. What is the primary underlying problem?","Surfactant deficiency","Pulmonary embolism","Cardiac failure","Upper airway obstruction","A","Premature infants commonly lack sufficient surfactant, leading to alveolar collapse and RDS.","A: Classic RDS findings. | B-D: Not consistent with prematurity and diffuse pattern.","premature | ground-glass | grunting","Missing classic RDS presentation.","Prematurity + diffuse atelectasis = surfactant deficiency.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric asthma severity indicator","medium","interpretation","moderate","A 6-year-old with asthma has decreased wheezing but worsening fatigue and reduced air movement. What does this most likely indicate?","Impending respiratory failure","Clinical improvement","Mild exacerbation","Psychological distress","A","Decreased wheezing with poor air movement may indicate severe obstruction and fatigue.","A: Correct because silent chest suggests severe airflow limitation. | B: True improvement would show improved aeration. | C: Mild cases do not show fatigue. | D: Symptoms are physiologic.","reduced breath sounds | fatigue","Thinking less wheeze equals improvement.","Silent chest = danger sign.","pass"
"Neonatal & Pediatrics","neonatal-peds","Apnea of prematurity treatment","medium","decision-making","moderate","A 30-week premature infant has recurrent apnea episodes without infection. What medication is most appropriate?","Caffeine citrate","Furosemide","Epinephrine","Albuterol","A","Caffeine stimulates respiratory drive and is first-line therapy for apnea of prematurity.","A: Standard therapy. | B-D: Not indicated for central apnea of prematurity.","premature | recurrent apnea","Treating with bronchodilators unnecessarily.","Central apnea requires respiratory stimulant.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric foreign body aspiration","hard","decision-making","high","A toddler suddenly develops unilateral wheezing after playing with small toys. Chest radiograph shows hyperinflation on one side. What is the next best step?","Rigid bronchoscopy","Nebulized bronchodilator","Chest physiotherapy","Discharge home","A","Unilateral hyperinflation after choking suggests foreign body requiring bronchoscopy.","A: Definitive diagnostic and therapeutic step. | B: May delay necessary removal. | C: Not appropriate for obstruction. | D: Unsafe.","unilateral wheeze | hyperinflation | sudden onset","Treating as asthma without history consideration.","Sudden onset + asymmetry = foreign body.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal hypoglycemia respiratory effect","medium","interpretation","moderate","A neonate with jitteriness and apnea is found to have very low blood glucose. How can hypoglycemia affect respiration?","Depresses central respiratory drive","Increases surfactant production","Causes bronchospasm","Improves oxygen delivery","A","Severe hypoglycemia can depress central nervous system function including respiratory drive.","A: Correct neurologic mechanism. | B-D: Not physiologic effects of hypoglycemia.","hypoglycemia | apnea","Ignoring metabolic causes of apnea.","Check glucose in unstable neonate.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric septic shock oxygen delivery","hard","decision-making","high","A child in septic shock has normal PaO2 but rising lactate and low hemoglobin. What intervention most directly improves oxygen delivery?","Transfuse packed red blood cells","Increase FiO2","Decrease PEEP","Administer bronchodilator","A","Oxygen delivery depends heavily on hemoglobin concentration and cardiac output.","A: Raises oxygen content. | B: Dissolved oxygen contribution is minimal. | C-D: Do not address oxygen carrying capacity.","low hemoglobin | high lactate","Focusing only on PaO2.","Delivery depends on CaO2 not just PaO2.","pass"
"Neonatal & Pediatrics","neonatal-peds","Congenital diaphragmatic hernia physiology","hard","interpretation","high","A newborn with scaphoid abdomen and severe respiratory distress has bowel sounds in the chest. What is the primary cause of hypoxemia?","Pulmonary hypoplasia","Bronchospasm","Surfactant excess","Upper airway edema","A","CDH leads to underdeveloped lungs causing severe ventilation-perfusion mismatch and hypoxemia.","A: Correct mechanism. | B-D: Not underlying defect.","scaphoid abdomen | bowel sounds in chest","Missing classic CDH findings.","Structural lung underdevelopment causes hypoxemia.","pass"
"Neonatal & Pediatrics","neonatal-peds","Pediatric pneumonia complication","medium","interpretation","moderate","A child with pneumonia suddenly develops decreased breath sounds and dullness to percussion on one side. What complication is most likely?","Pleural effusion","Bronchospasm","Pneumothorax","Laryngospasm","A","Dullness and decreased breath sounds suggest fluid accumulation in pleural space.","A: Classic pleural effusion signs. | B: Would cause wheezing. | C: Pneumothorax causes hyperresonance. | D: Upper airway issue.","dullness | decreased breath sounds","Confusing pneumothorax vs effusion.","Percussion note differentiates.","pass"
"Neonatal & Pediatrics","neonatal-peds","Neonatal thermoregulation and oxygen consumption","medium","interpretation","moderate","A premature infant becomes hypothermic. How does hypothermia affect oxygen consumption?","Increases oxygen consumption","Decreases metabolic demand","Improves gas exchange","Has no effect","A","Cold stress increases metabolic rate and oxygen consumption in neonates.","A: Correct metabolic response. | B-D: Opposite or inaccurate.","hypothermia | premature","Underestimating thermal stress.","Cold stress increases oxygen demand.","pass"
