category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Oxygenation","Oxygen device escalation in acute hypoxemia","easy","decision-making","high","A 49-year-old with community-acquired pneumonia is on nasal cannula 4 L/min. He is alert but dyspneic. Data: RR 30/min, HR 112/min, SpO2 84%, ABG: pH 7.47, PaCO2 32 mm Hg, PaO2 50 mm Hg, HCO3- 23 mEq/L. What is the best immediate oxygenation step?","Give 2.5 mg albuterol by nebulizer","Switch to a nonrebreather mask at 15 L/min","Decrease oxygen to avoid oxygen toxicity","Sedate the patient for tachypnea","B","This is significant hypoxemia with preserved ventilation (low PaCO2 from tachypnea). Immediate priority is higher FiO2 delivery; a nonrebreather at high flow is the fastest bedside escalation.","{""A"":""No bronchospasm data are provided; bronchodilator does not reliably correct severe hypoxemia from parenchymal disease."",""B"":""Correct. This is the appropriate immediate oxygen escalation."",""C"":""Oxygen toxicity is not the immediate threat; untreated severe hypoxemia is."",""D"":""Sedation can depress respiratory drive and worsen oxygenation.""}","best immediate | SpO2 84% | PaO2 50 mm Hg","Treating suspected bronchospasm before correcting severe hypoxemia.","Prioritize immediate oxygenation rescue with a higher FiO2 device.","pass: single best answer, physiology consistent"
"Oxygenation","Carbon monoxide exposure and CO-oximetry selection","easy","recall","moderate","A 34-year-old is rescued from an enclosed garage fire. He is awake with headache and nausea. SpO2 is 99% on pulse oximetry while breathing oxygen by mask. ABG PaO2 is 180 mm Hg. Which test best evaluates true hemoglobin oxygenation status in this setting?","Standard pulse oximetry trend","End-tidal CO2","CO-oximetry","Chest radiograph","C","CO-oximetry directly distinguishes oxyhemoglobin from dyshemoglobins (e.g., carboxyhemoglobin), which pulse oximetry cannot.","{""A"":""Pulse oximetry can read falsely normal in carbon monoxide exposure."",""B"":""End-tidal CO2 assesses ventilation, not hemoglobin species."",""C"":""Correct. It directly measures hemoglobin species."",""D"":""Chest radiograph does not quantify dyshemoglobinemia.""}","enclosed garage fire | SpO2 99% | true hemoglobin oxygenation","Assuming normal pulse oximetry excludes CO-related hypoxia.","When dyshemoglobinemia is suspected, choose direct hemoglobin-species measurement.","pass: clear test-selection item"
"Oxygenation","Failure of fixed-performance mask and immediate oxygen escalation","easy","decision-making","high","A postoperative patient is receiving 40% air-entrainment mask oxygen. He remains tachypneic with SpO2 85%. ABG: pH 7.44, PaCO2 35 mm Hg, PaO2 52 mm Hg. Which change is most appropriate now?","Change to nonrebreather mask at 15 L/min","Start incentive spirometry only","Reduce FiO2 to prevent absorption atelectasis","Administer IV bicarbonate","A","He has persistent hypoxemia despite moderate fixed FiO2. Immediate escalation to a higher FiO2 device is appropriate.","{""A"":""Correct. This provides higher immediate inspired oxygen."",""B"":""Useful adjunct later, but insufficient as sole immediate response to significant hypoxemia."",""C"":""FiO2 reduction would likely worsen oxygenation."",""D"":""No primary metabolic acidosis is present.""}","most appropriate now | SpO2 85% | PaO2 52 mm Hg","Choosing supportive adjuncts before correcting immediate oxygen failure.","Escalate oxygen delivery first when moderate device support is failing.","pass: one best immediate action"
"Oxygenation","Chronic hypercapnia with severe hypoxemia in COPD","medium","decision-making","high","A 67-year-old with severe COPD is seen in clinic. On room air: pH 7.38, PaCO2 56 mm Hg, PaO2 48 mm Hg, HCO3- 32 mEq/L, SpO2 81%. He is stable and speaking in full sentences. What is the most appropriate next step?","Initiate supplemental oxygen therapy","Withhold oxygen to avoid suppressing hypoxic drive","Order bronchoscopy before treatment","Begin immediate intubation","A","This is chronic hypercapnia with clinically significant hypoxemia; oxygen is indicated and should not be withheld.","{""A"":""Correct. Titrated supplemental oxygen is appropriate for severe hypoxemia."",""B"":""The 'no oxygen in COPD' myth is unsafe in hypoxemic patients."",""C"":""Invasive diagnostics should not delay treatment of immediate hypoxemia."",""D"":""No signs of imminent ventilatory collapse requiring emergent intubation.""}","PaO2 48 mm Hg | SpO2 81% | most appropriate next step","Avoiding needed oxygen because of fear of CO2 retention.","Treat severe oxygen deficit first; then monitor response and CO2.","pass: clinically realistic and non-ambiguous"
"Oxygenation","ARDS PEEP titration for refractory hypoxemia","medium","decision-making","high","An intubated patient with bilateral infiltrates is on VC ventilation: FiO2 0.80, VT 6 mL/kg PBW, rate 20/min, PEEP 8 cm H2O. ABG: pH 7.40, PaCO2 41 mm Hg, PaO2 55 mm Hg. Which ventilator change best targets the current problem?","Increase respiratory rate to 28/min","Increase PEEP","Decrease inspiratory time","Decrease FiO2 to 0.60","B","Ventilation is adequate (normal PaCO2). The problem is refractory oxygenation; increasing PEEP improves alveolar recruitment and oxygenation.","{""A"":""Primarily changes CO2 elimination, not the main oxygenation problem."",""B"":""Correct. This directly targets oxygenation failure."",""C"":""Not the primary corrective maneuver for this pattern."",""D"":""Would likely worsen already severe hypoxemia.""}","PaCO2 41 mm Hg | PaO2 55 mm Hg | best targets current problem","Treating ventilation when oxygenation is the dominant issue.","Match the intervention to the physiologic problem (oxygenation vs ventilation).","pass: clear physiology targeting"
"Oxygenation","Methemoglobinemia saturation gap recognition","medium","recall","moderate","A patient receiving dapsone becomes cyanotic. On 100% oxygen, pulse oximetry remains 85%. ABG: pH 7.41, PaCO2 38 mm Hg, PaO2 310 mm Hg. Which test should be obtained to clarify the oxygenation abnormality?","Repeat pulse oximetry on a different finger","CO-oximetry","End-tidal CO2 monitoring","Bedside spirometry","B","High PaO2 with persistently low SpO2 suggests dyshemoglobinemia (e.g., methemoglobinemia), best assessed by CO-oximetry.","{""A"":""Probe relocation does not diagnose dyshemoglobin states."",""B"":""Correct. It identifies abnormal hemoglobin species directly."",""C"":""Assesses ventilation, not dyshemoglobins."",""D"":""Does not evaluate this oxygen saturation discrepancy.""}","dapsone | SpO2 85% on 100% O2 | PaO2 310 mm Hg","Assuming a very high PaO2 rules out oxygenation pathology.","A saturation gap points to dyshemoglobinemia and requires CO-oximetry.","pass: classic saturation-gap pattern"
"Oxygenation","Iatrogenic tension pneumothorax after central line","medium","decision-making","high","Immediately after right subclavian line placement, a ventilated patient develops sudden hypoxemia and hypotension. Peak inspiratory pressure rises from 24 to 45 cm H2O. Breath sounds are markedly reduced on the right. What should be done first?","Increase FiO2 from 0.50 to 1.0 and wait","Needle decompression of the right chest","Give a bronchodilator treatment","Order routine morning chest x-ray","B","This pattern is highly consistent with tension pneumothorax after line placement; immediate decompression is lifesaving.","{""A"":""May briefly improve oxygenation but does not treat obstructive shock physiology."",""B"":""Correct. Immediate decompression addresses the cause."",""C"":""Bronchospasm is not the dominant pattern."",""D"":""Diagnostic delay increases risk in an unstable patient.""}","after subclavian line | hypotension + rising PIP | first","Ordering imaging before emergency decompression.","In unstable probable tension pneumothorax, treat first, confirm later.","pass: emergency priority correctly framed"
"Oxygenation","Severe ARDS prone positioning","hard","decision-making","moderate","A patient with severe ARDS is on lung-protective ventilation: FiO2 0.90, PEEP 14 cm H2O, VT 6 mL/kg PBW. ABG: pH 7.36, PaCO2 44 mm Hg, PaO2 58 mm Hg. Which intervention has the strongest evidence to improve oxygenation in this severity range?","Increase VT to 10 mL/kg PBW","Prone positioning","Decrease PEEP to reduce barotrauma risk","Discontinue sedation immediately","B","PaO2/FiO2 is approximately 64 (severe ARDS). Prone positioning improves V/Q matching and oxygenation and is evidence-based in severe ARDS.","{""A"":""Higher VT increases ventilator-induced lung injury risk."",""B"":""Correct. This is a proven intervention in severe ARDS."",""C"":""Reducing PEEP may worsen derecruitment and hypoxemia."",""D"":""Not a direct treatment for refractory severe hypoxemia.""}","FiO2 0.90 | PaO2 58 mm Hg | strongest evidence","Increasing VT in ARDS to chase oxygenation.","Use severity-based ARDS strategies with outcome evidence.","pass: severity and intervention aligned"
"Oxygenation","Shunt physiology from poor FiO2 responsiveness","hard","interpretation","high","A patient with dense lobar consolidation has PaO2 54 mm Hg on FiO2 0.60, then PaO2 58 mm Hg on FiO2 1.00. PaCO2 is stable at 39 mm Hg. Which mechanism best explains the persistent hypoxemia?","Intrapulmonary shunt","Pure hypoventilation","Increased dead space only","Mild diffusion limitation only","A","Minimal PaO2 response to a large FiO2 increase is classic for shunt physiology, especially with alveolar filling disease.","{""A"":""Correct. Shunt physiology is defined by poor response to FiO2 increase."",""B"":""Hypoventilation usually improves oxygenation with FiO2 increase and often raises PaCO2."",""C"":""Dead space mainly impairs CO2 elimination and does not fit this oxygen response."",""D"":""Isolated diffusion limitation usually shows better FiO2 response.""}","FiO2 increased to 1.00 | minimal PaO2 rise | best explains","Attributing refractory hypoxemia to hypoventilation despite normal PaCO2.","Use response-to-oxygen pattern to identify oxygenation mechanism.","pass: pathophysiology mapping is clear"
"Oxygenation","Oxygen content and delivery in severe anemia","hard","decision-making","moderate","A trauma patient is on FiO2 0.60 with ABG: pH 7.32, PaCO2 34 mm Hg, PaO2 190 mm Hg, SaO2 99%. Hemoglobin is 5.8 g/dL, lactate 5.2 mmol/L, and skin is cool/mottled. Which intervention most directly improves tissue oxygen delivery now?","Increase FiO2 to 1.00","Increase PEEP by 5 cm H2O","Transfuse packed red blood cells","Decrease ventilator rate","C","Despite high PaO2/SaO2, oxygen content and delivery are critically limited by profound anemia. Raising hemoglobin most directly improves CaO2 and DO2.","{""A"":""Increasing dissolved oxygen contributes little compared with severe hemoglobin deficit."",""B"":""No primary oxygenation failure is present; unnecessary PEEP may worsen hemodynamics."",""C"":""Correct. This directly increases oxygen-carrying capacity."",""D"":""Rate change does not correct critical oxygen content deficit.""}","Hb 5.8 g/dL | PaO2 190 mm Hg | tissue oxygen delivery","Equating normal saturation with adequate oxygen delivery.","When oxygen content is low from anemia, correct hemoglobin first.","pass: high-level oxygen transport concept validated"
