category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Oxygenation","Acute oxygen device escalation","easy","decision-making","high","A 56-year-old with lobar pneumonia is receiving oxygen by nasal cannula at 4 L/min. He is alert but dyspneic. Data: RR 32/min, HR 118/min, SpO2 83%, ABG: pH 7.46, PaCO2 31 mm Hg, PaO2 49 mm Hg. Which action is most appropriate now?","Switch to a nonrebreather mask at 15 L/min","Decrease oxygen flow to reduce oxygen toxicity risk","Give IV bicarbonate","Sedate the patient to lower respiratory rate","A","The patient has severe hypoxemia with compensatory tachypnea. Immediate escalation to a high-FiO2 delivery device is the priority.","{""A"":""Correct. A nonrebreather can rapidly increase delivered FiO2 in severe hypoxemia."",""B"":""Reducing oxygen would worsen a dangerous oxygenation deficit."",""C"":""There is no metabolic acidosis requiring bicarbonate."",""D"":""Sedation can depress respiratory drive and worsen hypoxemia.""}","most appropriate now | SpO2 83% | PaO2 49 mm Hg","Treating respiratory rate instead of correcting severe hypoxemia first.","In acute severe hypoxemia, prioritize immediate FiO2 escalation before secondary interventions.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Pulse oximetry limitation with dyshemoglobinemia","easy","recall","moderate","A patient exposed to smoke in an enclosed fire has headache and confusion. Pulse oximetry reads 99% on supplemental oxygen, while PaO2 is 210 mm Hg. Which test most directly evaluates abnormal hemoglobin species affecting oxygenation?","Capnography","CO-oximetry","Spirometry","Portable chest radiograph","B","CO-oximetry directly measures oxyhemoglobin, carboxyhemoglobin, and methemoglobin, which standard pulse oximetry cannot distinguish.","{""A"":""Capnography assesses ventilation and CO2 elimination, not hemoglobin species."",""B"":""Correct. It directly identifies dyshemoglobinemia."",""C"":""Spirometry evaluates lung mechanics, not hemoglobin oxygen carriage."",""D"":""Chest radiography does not quantify abnormal hemoglobin binding.""}","enclosed fire | SpO2 99% | abnormal hemoglobin species","Assuming normal SpO2 excludes oxygenation pathology in toxin exposure.","When saturation appears inconsistent with clinical context, use direct hemoglobin-species measurement.","single best answer: yes; physiology accurate: yes"
"Oxygenation","High-flow nasal oxygen selection","easy","decision-making","moderate","A patient with interstitial lung disease is on 4 L/min nasal cannula. Data: RR 30/min, SpO2 84%, ABG: pH 7.45, PaCO2 33 mm Hg, PaO2 52 mm Hg. Which oxygen strategy is most appropriate next?","Increase nasal cannula to 5 L/min only","Simple mask at 6 L/min","Heated high-flow nasal cannula with controlled FiO2","Stop oxygen and reassess in 30 minutes","C","The patient remains hypoxemic and tachypneic on low-flow oxygen. Heated high-flow can deliver a reliable higher FiO2 and better flow matching.","{""A"":""A small low-flow increase is unlikely to correct substantial hypoxemia."",""B"":""A simple mask at this flow may not meet inspiratory demand and provides less precise FiO2."",""C"":""Correct. Controlled higher FiO2 and high flow are appropriate for persistent hypoxemia with tachypnea."",""D"":""Delaying escalation risks worsening hypoxemia.""}","most appropriate next | tachypnea | persistent hypoxemia","Using minor low-flow adjustments for severe oxygenation failure.","Choose the device that reliably increases FiO2 and meets inspiratory flow demand.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Recognizing severe hypoxemia category","easy","interpretation","high","An ABG on room air shows pH 7.41, PaCO2 39 mm Hg, PaO2 47 mm Hg, HCO3- 24 mEq/L. Which interpretation of oxygenation is most accurate?","Normal oxygenation","Mild hypoxemia","Moderate hypoxemia","Severe hypoxemia","D","A PaO2 in the 40s on room air indicates severe hypoxemia.","{""A"":""Normal PaO2 is much higher than 47 mm Hg."",""B"":""Mild hypoxemia is typically higher than this range."",""C"":""Moderate hypoxemia is generally above the 40s."",""D"":""Correct. PaO2 47 mm Hg reflects severe oxygenation impairment.""}","room air | PaO2 47 mm Hg | most accurate","Underestimating severity when pH and PaCO2 are normal.","Classify oxygenation severity directly from PaO2 range, independent of acid-base normality.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Ventilator oxygenation adjustment in diffuse lung injury","medium","decision-making","high","An intubated patient with bilateral opacities is receiving VC ventilation: FiO2 0.80, VT 6 mL/kg PBW, rate 18/min, PEEP 8 cm H2O. ABG: pH 7.39, PaCO2 40 mm Hg, PaO2 54 mm Hg. Which ventilator change best addresses the primary problem?","Increase respiratory rate to 24/min","Increase PEEP","Decrease inspiratory time","Decrease FiO2 to 0.60","B","Ventilation is adequate; oxygenation is poor despite high FiO2. Increasing PEEP improves alveolar recruitment and oxygenation.","{""A"":""Primarily affects CO2 clearance, not the key oxygenation deficit here."",""B"":""Correct. PEEP is a direct oxygenation lever for recruitable lung units."",""C"":""Not the primary correction for severe hypoxemia in this context."",""D"":""Lowering FiO2 would likely worsen hypoxemia.""}","primary problem | PaCO2 40 mm Hg | PaO2 54 mm Hg","Increasing minute ventilation when oxygenation, not ventilation, is failing.","Match intervention to physiologic target: use PEEP for refractory oxygenation failure.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Shunt physiology pattern recognition","medium","interpretation","high","A patient with dense unilateral consolidation has PaO2 53 mm Hg on FiO2 0.60 and PaO2 58 mm Hg on FiO2 1.00. PaCO2 remains 38 mm Hg. Which mechanism most likely explains this oxygenation pattern?","Intrapulmonary shunt","Pure hypoventilation","Low inspired oxygen concentration","Isolated mild diffusion limitation","A","Minimal PaO2 improvement despite a major FiO2 increase is characteristic of shunt physiology.","{""A"":""Correct. Shunt states are poorly responsive to FiO2 escalation."",""B"":""Hypoventilation typically responds more to FiO2 and often increases PaCO2."",""C"":""FiO2 was already increased substantially without expected PaO2 improvement."",""D"":""Mild diffusion limitation usually improves with higher FiO2.""}","FiO2 1.00 | minimal PaO2 change | most likely mechanism","Calling this hypoventilation despite stable normal-range PaCO2.","Use oxygen-response pattern to distinguish shunt from other causes of hypoxemia.","single best answer: yes; physiology accurate: yes"
"Oxygenation","COPD hypoxemia treatment priority","medium","decision-making","high","A stable outpatient with advanced COPD has ABG on room air: pH 7.37, PaCO2 58 mm Hg, PaO2 50 mm Hg, HCO3- 33 mEq/L, SpO2 82%. Which next step is most appropriate?","Withhold oxygen because PaCO2 is elevated","Start supplemental oxygen and titrate to target saturation","Intubate immediately","Give sodium bicarbonate infusion","B","This is chronic compensated hypercapnia with significant hypoxemia. Supplemental oxygen is indicated and should be titrated safely.","{""A"":""Elevated PaCO2 does not justify leaving severe hypoxemia untreated."",""B"":""Correct. Oxygen therapy is indicated with careful titration and follow-up."",""C"":""No immediate ventilatory failure signs require emergent intubation."",""D"":""No indication exists for bicarbonate therapy.""}","most appropriate | PaO2 50 mm Hg | SpO2 82%","Over-prioritizing hypercapnia over severe hypoxemia.","In chronic COPD, treat clinically important hypoxemia first with controlled oxygen.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Post-procedure tension pneumothorax recognition","medium","decision-making","high","After subclavian venous access, a mechanically ventilated patient develops abrupt hypotension, worsening hypoxemia, and increased peak inspiratory pressure. Breath sounds are markedly reduced on the left. What should be done first?","Order stat chest CT","Perform immediate needle decompression on the affected side","Administer bronchodilator therapy","Increase ventilator tidal volume","B","The presentation strongly suggests tension pneumothorax, which requires immediate decompression before confirmatory imaging.","{""A"":""Imaging delays treatment of a time-critical obstructive shock process."",""B"":""Correct. Emergent decompression is lifesaving."",""C"":""Bronchospasm does not explain this abrupt hemodynamic and pressure pattern."",""D"":""Larger tidal volume may worsen barotrauma and instability.""}","done first | abrupt hypotension | reduced unilateral breath sounds","Seeking diagnostic confirmation before emergency intervention.","Treat life-threatening likely cause immediately when bedside signs are classic.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Severe ARDS rescue strategy","hard","decision-making","moderate","A patient with severe ARDS is on lung-protective ventilation: FiO2 0.90, PEEP 14 cm H2O, VT 6 mL/kg PBW. ABG: pH 7.35, PaCO2 45 mm Hg, PaO2 57 mm Hg. Which intervention is most appropriate to improve oxygenation while maintaining protective strategy?","Increase VT to 10 mL/kg PBW","Prone positioning","Lower PEEP to 5 cm H2O","Stop all sedation immediately","B","This is severe refractory hypoxemia despite high FiO2/PEEP on protective ventilation. Prone positioning improves oxygenation and supports lung-protective management.","{""A"":""Higher VT increases ventilator-induced lung injury risk."",""B"":""Correct. Proning is appropriate in severe oxygenation failure on protective settings."",""C"":""Lowering PEEP can derecruit lung units and worsen hypoxemia."",""D"":""Abrupt sedation discontinuation does not directly correct severe oxygenation failure.""}","severe ARDS | protective ventilation | most appropriate","Breaking lung-protective limits to force oxygenation.","Use rescue measures that improve oxygenation without increasing lung injury risk.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Oxygen delivery vs oxygenation in profound anemia","hard","interpretation","moderate","A trauma patient has ABG: pH 7.34, PaCO2 36 mm Hg, PaO2 185 mm Hg on FiO2 0.60, SaO2 99%. Hemoglobin is 5.6 g/dL and lactate is 5.0 mmol/L. Which intervention most directly improves tissue oxygen delivery?","Increase FiO2 to 1.0","Increase PEEP by 5 cm H2O","Transfuse packed red blood cells","Reduce respiratory rate","C","Despite high PaO2 and SaO2, oxygen content is critically low due to severe anemia. Increasing hemoglobin most directly improves oxygen delivery.","{""A"":""Increasing dissolved oxygen has limited impact compared with severe hemoglobin deficit."",""B"":""No primary oxygenation defect is present; higher PEEP may reduce preload."",""C"":""Correct. RBC transfusion raises oxygen-carrying capacity and delivery."",""D"":""Rate reduction does not correct low arterial oxygen content.""}","PaO2 185 mm Hg | Hb 5.6 g/dL | tissue oxygen delivery","Confusing normal oxygen tension/saturation with adequate oxygen delivery.","Distinguish oxygenation metrics from oxygen content and delivery physiology.","single best answer: yes; physiology accurate: yes"
