category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Oxygenation","Acute hypoxemia with normal ventilation","medium","interpretation","high","A patient on room air has pH 7.42, PaCO2 38 mm Hg, PaO2 52 mm Hg. Breath sounds reveal bilateral crackles. Which primary physiologic problem is present?","Hypoventilation","Oxygenation failure","Metabolic acidosis","Respiratory alkalosis","B","Normal PaCO2 indicates ventilation is adequate. Low PaO2 reflects oxygenation failure.","A: PaCO2 is normal, not elevated. | B: Correct because hypoxemia exists with normal ventilation. | C: pH is normal and HCO3 is not provided as abnormal. | D: PaCO2 is normal.","PaCO2 38 | PaO2 52 | room air","Confusing ventilation with oxygenation.","Normal CO2 with low O2 = oxygenation problem.","single best answer: yes; physiology accurate: yes"
"Oxygenation","PEEP titration after high FiO2 failure","medium","decision-making","high","An intubated patient is on FiO2 0.90 and PEEP 5 cm H2O. PaO2 remains 58 mm Hg. PaCO2 is 40 mm Hg. What is the best next ventilator adjustment?","Increase PEEP","Increase respiratory rate","Decrease FiO2","Increase tidal volume to 10 mL/kg","A","High FiO2 with inadequate oxygenation suggests need for alveolar recruitment via higher PEEP.","A: Correct because PEEP improves alveolar recruitment. | B: Rate affects CO2 not oxygenation primarily. | C: Lowering FiO2 worsens hypoxemia. | D: Larger tidal volumes increase lung injury risk.","FiO2 0.90 | PaO2 58 | PaCO2 normal","Increasing rate for oxygen problem.","When FiO2 is high and PaO2 low, increase PEEP.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Oxygen toxicity risk timeframe","medium","recall","moderate","A patient requires FiO2 1.0 for acute respiratory distress. Which statement is most accurate regarding oxygen toxicity?","Short term high FiO2 is acceptable in life threatening hypoxemia","Oxygen toxicity occurs immediately at FiO2 0.60","Oxygen must never exceed 0.50","PaO2 above 100 mm Hg causes immediate lung injury","A","Short term high FiO2 is appropriate during stabilization; toxicity is dose and time dependent.","A: Correct. | B: Toxicity is related to duration and concentration. | C: Clinical necessity may require higher FiO2 temporarily. | D: PaO2 100 is not inherently toxic.","life threatening | FiO2 1.0 | most accurate","Overstating oxygen toxicity risk.","Stabilize first, reduce FiO2 when safe.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Acute shunt from alveolar collapse","hard","interpretation","high","A postoperative patient has sudden hypoxemia. PaO2 is 55 mm Hg on FiO2 0.80. PaCO2 is 39 mm Hg. Lung exam reveals diminished breath sounds at bases. Which mechanism is most likely?","Intrapulmonary shunt from atelectasis","Pure hypoventilation","Metabolic acidosis","Equipment malfunction only","A","Poor response to high FiO2 suggests shunt physiology, commonly from atelectasis postoperatively.","A: Correct because shunt does not respond well to FiO2. | B: PaCO2 is normal. | C: No acid base disturbance described. | D: Clinical findings suggest physiologic cause.","FiO2 0.80 | PaO2 55 | diminished bases","Calling this hypoventilation.","Poor FiO2 response suggests shunt.","single best answer: yes; physiology accurate: yes"
"Oxygenation","PaO2 versus SpO2 dissociation curve","hard","interpretation","moderate","A patient’s PaO2 increases from 70 to 120 mm Hg after oxygen therapy. SpO2 changes from 94 percent to 99 percent. Why is the saturation increase small compared with PaO2 change?","Oxyhemoglobin dissociation curve is flat at high PaO2","Pulse oximeter malfunction","Methemoglobinemia","Severe shunt physiology","A","At high PaO2 levels, the dissociation curve plateaus so saturation changes minimally despite PaO2 increase.","A: Correct because of curve plateau. | B: Values are physiologically coherent. | C: No evidence of dyshemoglobinemia. | D: Shunt does not explain this saturation pattern.","PaO2 120 | SpO2 99 percent","Expecting linear relationship between PaO2 and SpO2.","Understand dissociation curve shape.","single best answer: yes; physiology accurate: yes"
"Oxygenation","High altitude hypoxemia mechanism","medium","interpretation","moderate","A healthy individual ascends rapidly to high altitude and develops hypoxemia. Which primary mechanism causes decreased PaO2?","Reduced inspired oxygen partial pressure","Intrapulmonary shunt","Increased hemoglobin affinity","Equipment failure","A","At altitude, barometric pressure decreases, reducing inspired oxygen partial pressure and PaO2.","A: Correct. | B: No parenchymal disease implied. | C: Affinity shift does not cause primary hypoxemia. | D: No evidence of malfunction.","high altitude | decreased PaO2","Confusing altitude hypoxemia with shunt.","Lower barometric pressure lowers inspired PO2.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Diffusion limitation response to oxygen","hard","interpretation","high","A patient with pulmonary fibrosis has PaO2 60 mm Hg on room air that improves to 92 mm Hg on FiO2 0.40. Which mechanism best explains the improvement?","Diffusion limitation","Large fixed shunt","Equipment artifact","Pure hypoventilation","A","Diffusion limitation improves with supplemental oxygen because higher gradient enhances diffusion.","A: Correct because increased FiO2 improves diffusion gradient. | B: Shunt shows minimal improvement. | C: Pattern is physiologic. | D: PaCO2 pattern not consistent with hypoventilation.","improves with moderate FiO2 | fibrosis","Labeling all hypoxemia as shunt.","Improvement with oxygen suggests diffusion or VQ mismatch.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Oxygen delivery equation concept","hard","interpretation","high","Which variable has the greatest effect on oxygen delivery to tissues?","Hemoglobin concentration","Respiratory rate","End tidal CO2","Inspiratory time","A","Oxygen delivery depends primarily on hemoglobin concentration and cardiac output; hemoglobin has large influence on oxygen content.","A: Correct because CaO2 largely depends on hemoglobin. | B: Rate affects ventilation not oxygen content directly. | C: ETCO2 reflects ventilation. | D: Inspiratory time has minor effect on content.","oxygen delivery | hemoglobin","Confusing ventilation metrics with oxygen delivery.","Distinguish oxygenation from oxygen transport.","single best answer: yes; physiology accurate: yes"
"Oxygenation","Acute pulmonary edema oxygen strategy","medium","decision-making","high","A patient with acute cardiogenic pulmonary edema has SpO2 85 percent on nonrebreather mask and severe dyspnea. Blood pressure is elevated. What is the best immediate respiratory support?","Apply CPAP","Decrease oxygen","Administer sedative only","Intubate immediately","A","CPAP improves oxygenation and reduces preload and afterload in cardiogenic pulmonary edema.","A: Correct because positive pressure improves alveolar recruitment and hemodynamics. | B: Unsafe. | C: Does not correct oxygenation failure. | D: Intubation may be needed but trial of CPAP appropriate if stable.","pulmonary edema | SpO2 85 percent | hypertensive","Skipping noninvasive support.","Use positive pressure in cardiogenic edema.","single best answer: yes; physiology accurate: yes"
"Oxygenation","ARDS severity classification","medium","interpretation","moderate","A patient has PaO2 75 mm Hg on FiO2 0.50. What is the approximate PaO2 to FiO2 ratio?","150","300","75","500","A","PaO2 divided by FiO2 (0.50) equals 150, indicating moderate ARDS severity range.","A: Correct (75 / 0.50 = 150). | B: Calculation incorrect. | C: Represents PaO2 not ratio. | D: Not mathematically correct.","PaO2 75 | FiO2 0.50 | ratio","Forgetting to convert FiO2 to decimal.","Always divide PaO2 by FiO2 as decimal.","single best answer: yes; physiology accurate: yes"
