category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Patient Assessment","patient-assessment","Pulsus paradoxus recognition","hard","interpretation","high","A patient in severe respiratory distress has systolic blood pressure that decreases by 18 mm Hg during inspiration. What does this finding most suggest?","Severe airway obstruction","Normal physiologic variation","Systemic hypertension","Metabolic alkalosis","A","A drop greater than 10 mm Hg in systolic pressure during inspiration defines pulsus paradoxus, commonly seen in severe obstructive lung disease.","A: Correct — severe obstruction increases intrathoracic pressure swings. | B: Normal variation is less than 10 mm Hg. | C: Hypertension does not cause this pattern. | D: Acid-base disorders do not create this sign.","18 mm Hg drop | during inspiration","Not knowing threshold for pulsus paradoxus.","Quantify physiologic definitions precisely.","pass"
"Patient Assessment","patient-assessment","Agitation in hypoxemia","medium","interpretation","high","A previously calm patient becomes restless and confused as SpO2 falls from 94% to 86%. What is the most likely explanation?","Early hypoxic cerebral dysfunction","Sedation overdose","Improved ventilation","Normal anxiety response","A","Restlessness and confusion are early neurologic signs of hypoxemia.","A: Correct neurologic manifestation. | B: Sedation would depress activity. | C: Oxygenation is worsening. | D: Sudden change correlates with desaturation.","falling SpO2 | confusion","Waiting for cyanosis before acting.","Neurologic changes may be first sign of hypoxia.","pass"
"Patient Assessment","patient-assessment","Cyanosis threshold recognition","medium","recall","moderate","Central cyanosis becomes clinically visible when deoxygenated hemoglobin exceeds approximately what level?","5 g/dL","1 g/dL","10 g/dL","15 g/dL","A","Clinical cyanosis appears when approximately 5 g/dL of hemoglobin is desaturated.","A: Correct threshold. | B: Too low. | C: Excessive. | D: Not physiologic.","cyanosis | 5 g/dL","Confusing saturation percentage with absolute hemoglobin amount.","Remember absolute hemoglobin thresholds.","pass"
"Patient Assessment","patient-assessment","Silent chest interpretation","hard","interpretation","high","An asthmatic patient has minimal air movement with almost absent wheezing and increasing drowsiness. What does this indicate?","Impending respiratory failure","Resolution of bronchospasm","Anxiety attack","Equipment malfunction","A","A silent chest in severe asthma indicates minimal airflow and high risk of arrest.","A: Correct life-threatening sign. | B: Improvement would increase airflow. | C: Anxiety does not eliminate breath sounds. | D: No device referenced.","minimal air movement | drowsy","Thinking less wheeze means improvement.","Less wheeze can mean less airflow.","pass"
"Patient Assessment","patient-assessment","Tachycardia cause differentiation","medium","interpretation","moderate","A hypoxemic patient has HR 128/min and BP 130/82 mm Hg. What is the most likely cause of tachycardia?","Compensatory sympathetic response","Primary cardiac arrhythmia","Sedation overdose","Improved oxygenation","A","Hypoxemia stimulates sympathetic activation leading to tachycardia.","A: Correct physiologic response. | B: No arrhythmia described. | C: Sedation lowers HR. | D: Oxygenation is low not improved.","HR 128 | hypoxemia","Overcomplicating simple compensation.","Sympathetic compensation is common.","pass"
"Patient Assessment","patient-assessment","Asymmetric chest rise meaning","hard","interpretation","high","A ventilated patient shows asymmetric chest rise with decreased movement on the left and rising peak pressures. What is the most concerning cause?","Left-sided pneumothorax","Anxiety","Metabolic acidosis","Normal variation","A","Asymmetric expansion with rising pressures suggests pneumothorax or obstruction on that side.","A: Correct emergent concern. | B: Anxiety does not affect mechanics. | C: Acid-base disorder does not change expansion. | D: Not normal in ventilated patient.","asymmetric rise | rising PIP","Ignoring mechanical signs.","Mechanical changes often indicate structural issue.","pass"
"Patient Assessment","patient-assessment","Bounding pulses interpretation","medium","interpretation","moderate","A septic patient has warm skin and bounding pulses. What phase of shock is most consistent with this finding?","Early distributive shock","Cardiogenic shock","Obstructive shock","Hypovolemic shock","A","Early septic shock presents with warm skin and bounding pulses due to vasodilation.","A: Correct distributive phase. | B: Cardiogenic shows cool extremities. | C: Obstructive shows JVD and hypotension. | D: Hypovolemic shows weak pulses.","warm skin | bounding pulses","Associating all shock with cold extremities.","Different shock types have distinct patterns.","pass"
"Patient Assessment","patient-assessment","Bradypnea cause recognition","medium","interpretation","moderate","A patient with shallow breathing and RR 6/min most urgently requires assessment of what?","Ventilatory failure and CO2 retention","Oxygen toxicity","Hyperventilation","Metabolic alkalosis","A","Bradypnea suggests hypoventilation and risk of hypercapnia.","A: Correct ventilatory focus. | B: Not related. | C: Opposite pattern. | D: Acid-base unknown.","RR 6","Focusing only on oxygenation.","Ventilation must be evaluated independently.","pass"
"Patient Assessment","patient-assessment","Mottled skin significance","hard","interpretation","moderate","A critically ill patient develops mottled, cool extremities with delayed cap refill. What does this most indicate?","Poor systemic perfusion","Improved circulation","Hypercapnia alone","Bronchospasm","A","Mottling and cool extremities suggest inadequate perfusion.","A: Correct perfusion marker. | B: Opposite finding. | C: CO2 alone does not cause mottling. | D: Bronchospasm affects airflow not perfusion.","mottled | cool extremities","Ignoring peripheral perfusion signs.","Peripheral findings reflect systemic status.","pass"
"Patient Assessment","patient-assessment","Work of breathing escalation signs","hard","decision-making","high","A patient with pneumonia shows RR 38/min, nasal flaring, intercostal retractions, and declining mental status. What does this progression most strongly indicate?","Impending respiratory failure","Stable compensatory tachypnea","Resolution of infection","Primary anxiety","A","High work of breathing with mental status change signals decompensation.","A: Correct dangerous progression. | B: Mental status decline contradicts stability. | C: No improvement signs. | D: Anxiety does not cause severe retractions and hypoxemia.","RR 38 | retractions | mental status change","Waiting for arrest before escalating.","Work of breathing plus neuro change = high risk.","pass"
