category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Pharmacology","Beta-2 agonist mechanism and indication","medium","recall","high","A patient with acute bronchospasm receives albuterol via nebulizer. Which mechanism best explains the drug’s bronchodilatory effect?","Stimulation of beta-2 receptors causing smooth muscle relaxation","Blockade of muscarinic receptors in the airway","Inhibition of leukotriene synthesis","Direct surfactant stimulation","A","Albuterol stimulates beta-2 adrenergic receptors, increasing cyclic AMP and causing bronchial smooth muscle relaxation.","A: Correct because beta-2 stimulation increases cAMP leading to bronchodilation. | B: Describes anticholinergic agents like ipratropium. | C: Refers to leukotriene modifiers. | D: Surfactant is unrelated to beta-2 bronchodilation.","beta-2 | bronchodilation | mechanism","Confusing beta agonists with anticholinergics.","Know drug class mechanism, not just name.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Anticholinergic side effects","medium","interpretation","moderate","A patient receiving ipratropium complains of dry mouth and blurred vision after treatment. What is the most likely cause?","Systemic anticholinergic effect","Excess beta-2 stimulation","Histamine release","Pulmonary vasodilation","A","Ipratropium is an anticholinergic and can cause dry mouth and blurred vision due to muscarinic blockade.","A: Correct due to muscarinic receptor inhibition. | B: Beta-2 stimulation causes tremor or tachycardia, not blurred vision. | C: Not associated with ipratropium. | D: Not a typical effect.","dry mouth | blurred vision | ipratropium","Blaming beta agonist when drug is anticholinergic.","Match side effects to drug class.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Systemic steroid indication in COPD exacerbation","medium","decision-making","high","A patient with severe COPD exacerbation remains dyspneic after repeated bronchodilator treatments. Which medication should be added to reduce airway inflammation?","Systemic corticosteroid","Additional short-acting beta agonist only","Diuretic therapy","Sedative medication","A","Systemic corticosteroids reduce airway inflammation and improve outcomes in COPD exacerbations.","A: Correct because steroids decrease airway inflammation. | B: Repeating SABA alone does not address inflammation. | C: No evidence of fluid overload. | D: Sedation may worsen ventilation.","COPD exacerbation | reduce inflammation","Using bronchodilator alone without anti-inflammatory therapy.","Treat inflammation during exacerbations.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Magnesium sulfate role in asthma","hard","decision-making","moderate","A patient with life-threatening asthma remains in severe bronchospasm despite continuous nebulized beta agonist therapy. Which adjunct medication may provide additional bronchodilation?","IV magnesium sulfate","IV furosemide","Oral antihistamine","Nebulized saline only","A","Magnesium sulfate can cause smooth muscle relaxation and is used as adjunct therapy in severe asthma.","A: Correct as adjunct bronchodilator in severe asthma. | B: Furosemide treats fluid overload. | C: Antihistamines do not relieve acute bronchospasm. | D: Saline does not reverse severe bronchospasm.","life-threatening asthma | adjunct therapy","Forgetting magnesium in refractory asthma.","Know rescue escalation options.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Oxygen-induced hypercapnia risk","hard","interpretation","high","A chronic CO2 retainer with COPD receives high FiO2 and develops rising PaCO2. Which mechanism most contributes to this increase?","Worsening VQ mismatch from loss of hypoxic vasoconstriction","Complete loss of respiratory drive only","Increased surfactant production","Enhanced carbon monoxide binding","A","High oxygen can worsen VQ mismatch by reversing hypoxic pulmonary vasoconstriction, increasing dead space ventilation.","A: Correct mechanism for oxygen-induced hypercapnia. | B: Loss of drive alone is not the primary mechanism. | C: Surfactant is unrelated. | D: Carbon monoxide binding is unrelated.","chronic CO2 retainer | high FiO2 | rising PaCO2","Overattributing hypercapnia solely to respiratory drive suppression.","Understand VQ physiology.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Methylxanthine toxicity signs","medium","recall","moderate","A patient receiving theophylline develops nausea, tremor, and tachycardia. What is the most likely cause?","Theophylline toxicity","Beta-blocker overdose","Opioid effect","Inhaled steroid reaction","A","Theophylline toxicity commonly causes GI upset, tremor, and tachyarrhythmias.","A: Correct toxicity pattern. | B: Beta-blockers cause bradycardia. | C: Opioids cause respiratory depression. | D: Inhaled steroids do not cause this pattern.","theophylline | tremor | tachycardia","Missing classic toxicity triad.","Recognize narrow therapeutic index drugs.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Indication for epinephrine in anaphylaxis","medium","decision-making","high","A patient develops wheezing, hypotension, and urticaria immediately after antibiotic administration. What is the first-line medication?","Intramuscular epinephrine","Nebulized saline","Oral steroid only","Long-acting beta agonist","A","Epinephrine is first-line for anaphylaxis because it reverses bronchospasm and supports blood pressure.","A: Correct first-line treatment. | B: Does not treat systemic reaction. | C: Steroids are adjunct but not immediate life-saving therapy. | D: LABAs are not appropriate in acute anaphylaxis.","wheezing + hypotension | immediate reaction","Delaying epinephrine.","Recognize emergency pharmacology.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Inhaled corticosteroid local side effect","easy","recall","moderate","A patient using inhaled corticosteroids develops oral thrush. What is the best preventive measure?","Rinse mouth after inhalation","Increase dose frequency","Add oral antibiotic","Discontinue bronchodilator","A","Rinsing reduces local steroid deposition and prevents candidiasis.","A: Correct preventive measure. | B: Increasing dose worsens risk. | C: Antibiotics do not prevent fungal infection. | D: Bronchodilators are unrelated.","oral thrush | inhaled steroid","Not counseling patients properly.","Prevent common ICS complications.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Neuromuscular blockade purpose in ventilation","medium","interpretation","moderate","A mechanically ventilated patient with severe ARDS is given a neuromuscular blocking agent. What is the primary purpose?","Improve ventilator synchrony and reduce oxygen consumption","Treat bronchospasm directly","Stimulate respiratory drive","Increase surfactant production","A","Neuromuscular blockers reduce patient-ventilator dyssynchrony and oxygen demand in severe cases.","A: Correct purpose. | B: They do not directly bronchodilate. | C: They suppress drive. | D: Surfactant production is unrelated.","ARDS | ventilator synchrony","Thinking paralytics treat airway tone.","Know indication for paralysis.","single best answer: yes; physiology accurate: yes; ambiguity: none"
"Pharmacology","Naloxone effect in opioid overdose","medium","decision-making","high","A patient presents with pinpoint pupils and respiratory depression after suspected opioid use. What is the immediate pharmacologic intervention?","Administer naloxone","Give albuterol nebulizer","Administer magnesium sulfate","Start inhaled corticosteroid","A","Naloxone reverses opioid receptor effects and restores respiratory drive.","A: Correct life-saving antidote. | B: Bronchodilator does not reverse opioid effect. | C: Magnesium treats bronchospasm. | D: Steroids do not reverse opioid depression.","pinpoint pupils | respiratory depression","Treating symptom without reversing cause.","Know antidotes cold.","single best answer: yes; physiology accurate: yes; ambiguity: none"
