category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Pharmacology","pharmacology","LABA safety in asthma","hard","interpretation","high","A patient with asthma is prescribed salmeterol as monotherapy and experiences worsening nighttime symptoms over several weeks. What is the most important concern with this treatment plan?","Increased risk of asthma-related death without concurrent inhaled corticosteroid","Immediate adrenal suppression","Severe hyperkalemia","Pulmonary fibrosis development","A","Long-acting beta agonists should not be used as monotherapy in asthma because they increase risk of severe exacerbations and asthma-related death without concurrent ICS therapy.","A: Correct because LABA monotherapy in asthma increases mortality risk. | B: Adrenal suppression is not typical of LABA therapy. | C: Beta agonists may cause mild hypokalemia not severe hyperkalemia. | D: LABAs do not cause pulmonary fibrosis.","LABA monotherapy | asthma worsening | nighttime symptoms","Using LABA without inhaled corticosteroid.","In asthma, LABA must always be paired with anti-inflammatory control therapy.","pass"
"Pharmacology","pharmacology","Heparin-induced thrombocytopenia recognition","hard","interpretation","moderate","A hospitalized patient receiving heparin develops a sudden drop in platelet count and new shortness of breath from suspected pulmonary embolism. What is the most appropriate action?","Stop heparin immediately and initiate alternative anticoagulation","Increase heparin dose","Administer vitamin K","Start aspirin only","A","Heparin-induced thrombocytopenia can cause paradoxical thrombosis. Heparin must be stopped and a non-heparin anticoagulant started.","A: Correct because HIT requires immediate discontinuation and alternative anticoagulation. | B: Increasing dose worsens condition. | C: Vitamin K reverses warfarin not heparin. | D: Aspirin alone is insufficient anticoagulation.","heparin | platelet drop | thrombosis","Treating thrombosis by increasing heparin.","Recognize immune-mediated drug complications requiring immediate cessation.","pass"
"Pharmacology","pharmacology","ACE inhibitor cough mechanism","medium","interpretation","moderate","A patient started on lisinopril develops a persistent dry cough without infection. What is the most likely mechanism?","Accumulation of bradykinin","Beta-2 receptor blockade","Histamine release","Surfactant suppression","A","ACE inhibitors increase bradykinin levels, which can cause a chronic dry cough.","A: Correct because bradykinin accumulation explains ACE inhibitor cough. | B: ACE inhibitors do not block beta receptors. | C: Not a histamine-mediated allergic reaction. | D: Surfactant is unrelated.","lisinopril | dry cough | mechanism","Mislabeling ACE cough as infection.","Understand common class-specific side effects.","pass"
"Pharmacology","pharmacology","Diuretic effect in pulmonary edema","medium","decision-making","high","A patient with acute pulmonary edema presents with severe dyspnea and crackles. Which medication most directly reduces preload to improve symptoms?","IV furosemide","Albuterol","Montelukast","Fluticasone","A","Loop diuretics reduce intravascular volume and preload, improving pulmonary congestion in cardiogenic pulmonary edema.","A: Correct because reducing preload improves pulmonary congestion. | B: Bronchodilator does not treat fluid overload. | C: Leukotriene modifier unrelated. | D: Steroid not indicated for cardiogenic edema.","pulmonary edema | preload | crackles","Treating fluid overload like bronchospasm.","Match drug action to pathophysiology.","pass"
"Pharmacology","pharmacology","Flumazenil caution in chronic benzodiazepine users","hard","decision-making","moderate","A patient with chronic benzodiazepine use presents with decreased consciousness after suspected overdose. When might flumazenil be contraindicated?","In chronic benzodiazepine dependence due to seizure risk","When oxygen saturation is normal","If patient is elderly","If blood pressure is elevated","A","Flumazenil can precipitate seizures in benzodiazepine-dependent patients.","A: Correct because sudden reversal can trigger withdrawal seizures. | B: Oxygen level does not determine safety. | C: Age alone is not absolute contraindication. | D: Elevated blood pressure is not primary concern.","benzodiazepine dependence | seizure risk","Using reversal agents without considering chronic use.","Assess dependency before giving antagonists.","pass"
"Pharmacology","pharmacology","Leukotriene modifier role in asthma","medium","recall","moderate","Which statement best describes the role of montelukast in asthma management?","It reduces inflammation by blocking leukotriene receptors","It provides immediate bronchodilation within minutes","It reverses acute severe bronchospasm","It replaces inhaled corticosteroids in moderate persistent asthma","A","Montelukast blocks leukotriene receptors and reduces inflammatory airway response.","A: Correct because it reduces leukotriene-mediated inflammation. | B: It is not rapid-acting. | C: Not used for acute severe attacks. | D: It does not replace ICS in moderate persistent asthma.","montelukast | leukotriene | inflammation","Expecting leukotriene blockers to act like rescue inhalers.","Know controller vs rescue therapy distinctions.","pass"
"Pharmacology","pharmacology","Atropine in symptomatic bradycardia","medium","decision-making","high","A patient develops symptomatic bradycardia with hypotension. Which medication is first-line to increase heart rate?","Atropine","Propranolol","Adenosine","Magnesium sulfate","A","Atropine blocks vagal influence on the SA node and increases heart rate in symptomatic bradycardia.","A: Correct because atropine is ACLS first-line for unstable bradycardia. | B: Beta blockers decrease heart rate. | C: Adenosine slows conduction. | D: Magnesium treats torsades not bradycardia.","bradycardia | hypotension | first-line","Giving rate-slowing drugs in bradycardia.","Match drug effect to arrhythmia physiology.","pass"
"Pharmacology","pharmacology","Nitroglycerin mechanism in chest pain","medium","interpretation","moderate","A patient with chest pain receives nitroglycerin and reports relief. What primary physiologic effect explains this benefit?","Venodilation reducing preload and myocardial oxygen demand","Direct coronary artery plaque removal","Increased heart rate stimulation","Bronchial smooth muscle relaxation","A","Nitroglycerin primarily causes venodilation, decreasing preload and myocardial oxygen demand.","A: Correct because reduced preload lowers cardiac workload. | B: It does not remove plaque. | C: It does not stimulate heart rate. | D: Bronchodilation is not its primary use.","nitroglycerin | preload | chest pain","Thinking nitroglycerin directly dissolves clots.","Understand preload reduction as primary antianginal mechanism.","pass"
"Pharmacology","pharmacology","Hyperkalemia treatment stabilization","hard","decision-making","high","A patient has severe hyperkalemia with peaked T waves on ECG. Which medication should be given first to stabilize the myocardium?","IV calcium gluconate","Insulin only","Sodium bicarbonate only","Albuterol inhaler only","A","Calcium stabilizes cardiac membranes and reduces risk of arrhythmia in hyperkalemia.","A: Correct because calcium protects myocardium before shifting potassium. | B: Insulin shifts potassium but does not stabilize heart immediately. | C: Bicarbonate effect is slower and less predictable. | D: Albuterol shifts potassium but not first priority.","peaked T waves | hyperkalemia | stabilize myocardium","Trying to shift potassium before protecting heart.","Always stabilize myocardium first in life-threatening hyperkalemia.","pass"
"Pharmacology","pharmacology","Amiodarone indication in ventricular arrhythmia","hard","decision-making","high","A patient in ventricular tachycardia with a pulse remains unstable after synchronized cardioversion. Which antiarrhythmic is commonly administered next?","Amiodarone","Atropine","Flumazenil","Montelukast","A","Amiodarone is commonly used for refractory ventricular tachycardia.","A: Correct because amiodarone treats ventricular arrhythmias. | B: Atropine treats bradycardia. | C: Flumazenil reverses benzodiazepines. | D: Montelukast is unrelated.","ventricular tachycardia | refractory | antiarrhythmic","Confusing bradycardia and tachycardia medications.","Select antiarrhythmic based on rhythm type.","pass"
