category,category_slug,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Pharmacology","pharmacology","Beta-agonist overdose effects","medium","interpretation","moderate","A patient using high doses of albuterol for an asthma exacerbation develops tremors and tachycardia. Which mechanism explains these findings?","Beta-1 cardiac stimulation and systemic beta-2 effects","Muscarinic receptor activation","Alpha-1 vasoconstriction","Histamine release","A","High-dose beta agonists can stimulate cardiac beta-1 receptors and systemic beta-2 receptors, leading to tremor and tachycardia.","A: Correct because excessive beta stimulation causes tremor and tachycardia. | B: Muscarinic activation would cause bradycardia and bronchoconstriction. | C: Alpha-1 stimulation causes vasoconstriction not tremor. | D: Histamine release is unrelated.","high doses | tremor | tachycardia","Confusing beta agonist side effects with allergic reaction.","Know dose-related beta agonist systemic effects.","pass"
"Pharmacology","pharmacology","Corticosteroid adrenal suppression risk","hard","decision-making","high","A patient on long-term high-dose systemic corticosteroids is scheduled for major surgery. What is the primary pharmacologic concern?","Adrenal insufficiency due to HPA axis suppression","Severe hyperkalemia","Immediate bronchospasm","Pulmonary fibrosis","A","Chronic systemic steroid use suppresses the hypothalamic-pituitary-adrenal axis, risking adrenal crisis under stress.","A: Correct because long-term steroids suppress endogenous cortisol production. | B: Hyperkalemia is not typical of steroid withdrawal. | C: Steroids reduce bronchospasm not cause it. | D: Steroids do not cause pulmonary fibrosis.","long-term steroids | surgery | stress response","Forgetting physiologic cortisol dependence after chronic steroids.","Assess HPA suppression risk before acute stress events.","pass"
"Pharmacology","pharmacology","Magnesium sulfate in asthma","medium","decision-making","moderate","A patient with severe asthma remains bronchospastic after repeated beta agonists and steroids. Which medication may be given intravenously as adjunct therapy?","Magnesium sulfate","Warfarin","Nitroglycerin","Flumazenil","A","IV magnesium can relax bronchial smooth muscle and is used in severe refractory asthma.","A: Correct because magnesium causes smooth muscle relaxation. | B: Warfarin is anticoagulant unrelated to bronchospasm. | C: Nitroglycerin affects preload not bronchial tone. | D: Flumazenil reverses benzodiazepines.","refractory asthma | adjunct | IV therapy","Stopping at beta agonists without knowing escalation options.","Know escalation ladder in severe asthma management.","pass"
"Pharmacology","pharmacology","Anticholinergic bronchodilator mechanism","medium","interpretation","moderate","How does ipratropium improve airflow in obstructive lung disease?","Blocks muscarinic receptors reducing vagal bronchoconstriction","Stimulates beta-2 receptors directly","Increases surfactant production","Inhibits histamine release","A","Ipratropium is an anticholinergic that blocks muscarinic receptors, reducing bronchoconstriction.","A: Correct because it blocks vagal-mediated bronchoconstriction. | B: That describes beta agonists. | C: Surfactant production is unrelated. | D: Histamine blockade is not its mechanism.","ipratropium | muscarinic | vagal tone","Confusing anticholinergic with beta agonist mechanism.","Differentiate parasympathetic blockade from beta stimulation.","pass"
"Pharmacology","pharmacology","Opioid overdose reversal","medium","decision-making","high","A patient presents with pinpoint pupils, bradypnea, and decreased consciousness after suspected opioid overdose. Which medication should be administered?","Naloxone","Fluticasone","Montelukast","Propranolol","A","Naloxone is an opioid antagonist that reverses respiratory depression from opioids.","A: Correct because naloxone competitively blocks opioid receptors. | B: Steroid unrelated. | C: Leukotriene modifier unrelated. | D: Beta blocker inappropriate.","pinpoint pupils | bradypnea | overdose","Treating respiratory depression without reversing cause.","Match antagonist to toxin class.","pass"
"Pharmacology","pharmacology","Warfarin monitoring parameter","medium","recall","moderate","Which laboratory value is most appropriate for monitoring therapeutic warfarin effect?","INR","aPTT","Platelet count","D-dimer","A","Warfarin therapy is monitored using the international normalized ratio (INR).","A: Correct because INR reflects warfarin anticoagulation. | B: aPTT monitors heparin. | C: Platelets do not measure warfarin effect. | D: D-dimer does not guide warfarin dosing.","warfarin | monitoring | INR","Confusing heparin and warfarin lab monitoring.","Match drug to correct monitoring test.","pass"
"Pharmacology","pharmacology","Epinephrine in anaphylaxis","hard","decision-making","high","A patient develops airway swelling, hypotension, and wheezing after allergen exposure. What is the first-line medication?","Intramuscular epinephrine","Diphenhydramine only","Inhaled fluticasone","IV furosemide","A","Epinephrine is first-line in anaphylaxis because it reverses airway edema, bronchospasm, and hypotension.","A: Correct because epinephrine addresses all life-threatening mechanisms. | B: Antihistamines are adjuncts not first-line. | C: Steroids are slow-acting. | D: Diuretics are unrelated.","airway swelling | hypotension | first-line","Delaying epinephrine in anaphylaxis.","In life-threatening allergic reactions, epinephrine is immediate priority.","pass"
"Pharmacology","pharmacology","Insulin in hyperkalemia","hard","interpretation","high","A patient with hyperkalemia receives IV insulin with dextrose. What is the primary mechanism of potassium reduction?","Shifts potassium intracellularly","Increases renal potassium excretion immediately","Binds potassium in the gut","Removes potassium via dialysis","A","Insulin stimulates cellular uptake of potassium via Na-K ATPase activity.","A: Correct because insulin shifts potassium into cells rapidly. | B: Renal excretion is slower. | C: GI binding is different therapy. | D: Dialysis removes potassium but is not insulin mechanism.","hyperkalemia | insulin | mechanism","Thinking insulin eliminates potassium from body.","Differentiate redistribution from elimination.","pass"
"Pharmacology","pharmacology","Systemic steroid effect in COPD exacerbation","medium","decision-making","moderate","Why are systemic corticosteroids given during acute COPD exacerbation?","Reduce airway inflammation and shorten recovery time","Provide immediate bronchodilation within seconds","Increase surfactant production","Eliminate carbon dioxide retention directly","A","Steroids reduce inflammation and improve recovery in COPD exacerbations.","A: Correct because steroids address inflammatory component. | B: They are not rapid bronchodilators. | C: Surfactant not primary issue. | D: They do not directly remove CO2.","COPD exacerbation | systemic steroids | recovery","Expecting steroids to act like rescue inhalers.","Know anti-inflammatory vs bronchodilator roles.","pass"
"Pharmacology","pharmacology","Adenosine in SVT","hard","decision-making","high","A patient presents with stable supraventricular tachycardia unresponsive to vagal maneuvers. Which medication is first-line?","Adenosine","Atropine","Magnesium sulfate","Naloxone","A","Adenosine transiently blocks AV nodal conduction and can terminate SVT.","A: Correct because adenosine interrupts AV nodal reentry. | B: Atropine treats bradycardia. | C: Magnesium treats torsades. | D: Naloxone reverses opioids.","SVT | vagal maneuvers failed | first-line","Confusing bradycardia drugs with tachycardia drugs.","Match arrhythmia type to correct ACLS medication.","pass"
