category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Ventilation","Primary ventilatory failure recognition","medium","interpretation","high","A patient on room air has ABG: pH 7.29, PaCO2 60 mm Hg, PaO2 78 mm Hg, HCO3- 28 mEq/L. Which best describes the primary problem?","Acute ventilatory failure","Primary oxygenation failure","Metabolic acidosis","Chronic compensated respiratory alkalosis","A","Elevated PaCO2 with acidemia indicates acute ventilatory failure.","A: Correct because high PaCO2 with low pH indicates acute CO2 retention. | B: PaO2 is not severely depressed. | C: HCO3 is slightly elevated, not low. | D: PaCO2 is elevated, not low.","pH 7.29 | PaCO2 60","Focusing on PaO2 instead of CO2.","Ventilation problems are defined by CO2 retention.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Minute ventilation adjustment","medium","decision-making","high","A ventilated patient has pH 7.28 and PaCO2 58 mm Hg. Oxygenation is adequate. Which ventilator change best corrects the problem?","Increase respiratory rate","Increase FiO2","Increase PEEP","Decrease inspiratory time","A","Hypercapnia with acidemia requires increased minute ventilation, typically by increasing rate.","A: Correct because rate increases minute ventilation. | B: FiO2 affects oxygenation not CO2 elimination. | C: PEEP affects oxygenation more than ventilation. | D: Inspiratory time change does not reliably correct CO2 retention.","PaCO2 58 | oxygenation adequate","Changing oxygen settings for a CO2 problem.","Fix ventilation issues with minute ventilation adjustments.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Auto-PEEP recognition in obstructive disease","hard","interpretation","high","A patient with severe asthma on mechanical ventilation develops hypotension and rising PaCO2. Expiratory flow does not return to baseline before next breath. What is the most likely cause?","Auto-PEEP with air trapping","Pulmonary embolism","Sedation overdose","Low FiO2","A","Incomplete exhalation causing intrinsic PEEP leads to air trapping, hypercapnia, and hypotension.","A: Correct because expiratory flow not reaching baseline indicates air trapping. | B: PE does not cause flow not returning to baseline. | C: Sedation does not cause dynamic hyperinflation. | D: FiO2 does not explain hypercapnia.","expiratory flow not baseline | asthma | hypotension","Missing ventilator waveform clues.","Waveforms reveal dynamic hyperinflation and auto-PEEP.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Reducing auto-PEEP strategy","hard","decision-making","high","A ventilated COPD patient has auto-PEEP and rising PaCO2. Which ventilator adjustment best reduces air trapping?","Increase respiratory rate","Increase tidal volume","Decrease respiratory rate","Increase FiO2","C","Reducing rate increases expiratory time and decreases air trapping.","A: Higher rate worsens air trapping. | B: Larger VT increases air trapping. | C: Correct because longer expiratory time reduces intrinsic PEEP. | D: FiO2 does not affect CO2 retention.","COPD | auto-PEEP | reduce trapping","Increasing rate in obstructive disease.","Give obstructive lungs more time to exhale.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Permissive hypercapnia understanding","medium","interpretation","moderate","A patient with ARDS is managed with low tidal volume ventilation. PaCO2 rises to 55 mm Hg and pH is 7.31. Oxygenation is acceptable. What is the best interpretation?","Permissive hypercapnia to protect lungs","Ventilator malfunction","Immediate need for bicarbonate","Severe metabolic acidosis","A","Low tidal volume strategies often allow moderate hypercapnia to reduce ventilator-induced lung injury.","A: Correct because this is expected in lung-protective ventilation. | B: No malfunction signs provided. | C: pH above 7.20 generally tolerated. | D: PaCO2 is elevated, not metabolic acid source.","low tidal volume | ARDS | PaCO2 55","Overcorrecting acceptable hypercapnia.","Protect lungs first; tolerate moderate CO2 rise.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Dead space ventilation concept","hard","interpretation","moderate","A patient has normal tidal volume but very high PaCO2 despite high minute ventilation. Which mechanism best explains this?","Increased dead space ventilation","Large right-to-left shunt","High FiO2 exposure","Excess PEEP only","A","Increased dead space causes ineffective ventilation despite high total minute ventilation.","A: Correct because wasted ventilation does not eliminate CO2 effectively. | B: Shunt affects oxygenation primarily. | C: FiO2 does not raise CO2. | D: PEEP alone does not explain severe hypercapnia without context.","high minute ventilation | high PaCO2","Confusing shunt with dead space.","CO2 retention despite high VE suggests dead space.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Weaning parameter evaluation","medium","decision-making","high","A patient ready for spontaneous breathing trial has RR 22, tidal volume 450 mL, and weighs 75 kg. What is the rapid shallow breathing index (RSBI)?","49","75","98","122","A","RSBI = RR / VT in liters. 22 / 0.45 ≈ 49, which predicts likely weaning success.","A: Correct calculation. | B: Miscalculated VT conversion. | C: Mathematical error. | D: Overestimation.","RSBI | VT in liters","Forgetting to convert mL to liters.","Always convert VT to liters before dividing.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Sedation impact on ventilation","medium","interpretation","moderate","A patient receives excessive opioid medication and develops PaCO2 65 mm Hg with pH 7.25. What is the primary mechanism?","Alveolar hypoventilation","Increased shunt","Increased diffusion limitation","Increased dead space","A","Opioids depress respiratory drive leading to hypoventilation and CO2 retention.","A: Correct because central depression reduces minute ventilation. | B: Shunt affects oxygenation more than CO2. | C: Diffusion limitation does not cause severe hypercapnia. | D: No evidence of increased dead space.","opioids | PaCO2 65","Blaming oxygenation mechanisms for CO2 retention.","Hypercapnia from CNS depression = hypoventilation.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Adjusting tidal volume vs rate","hard","decision-making","high","A ventilated patient has pH 7.26 and PaCO2 62 mm Hg. Current settings: VT 6 mL/kg PBW and rate 24. Plateau pressure is 32 cm H2O. Best next step?","Increase tidal volume","Increase rate further","Decrease tidal volume","Accept hypercapnia to avoid lung injury","D","Plateau pressure is already high. Increasing VT risks barotrauma; permissive hypercapnia is safer.","A: Raises plateau pressure further. | B: Rate already high; may worsen auto-PEEP. | C: Would worsen CO2 retention. | D: Correct to prioritize lung protection.","plateau 32 | high rate","Chasing normal CO2 at expense of lung protection.","Protect lungs even if moderate hypercapnia persists.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Capnography waveform interpretation","medium","interpretation","moderate","Capnography shows a progressively rising baseline with incomplete return to zero between breaths. What does this indicate?","Rebreathing or incomplete exhalation","Normal ventilation","Hypoventilation only","Low cardiac output","A","Failure to return to baseline indicates CO2 rebreathing or incomplete exhalation.","A: Correct because baseline should return to zero. | B: Normal waveform returns to zero. | C: Hypoventilation changes height not baseline return. | D: Cardiac output affects ETCO2 amplitude not baseline rebreathing pattern.","baseline not zero","Ignoring waveform shape.","Waveform patterns often diagnose ventilator issues quickly.","single best answer: yes; physiology accurate: yes; no repeat: yes"
