category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Ventilation","Acute respiratory acidosis identification","medium","interpretation","high","ABG: pH 7.28, PaCO2 60 mm Hg, HCO3 26 mEq/L, PaO2 88 mm Hg. What is the primary disorder?","Acute respiratory acidosis","Chronic respiratory acidosis","Metabolic acidosis","Mixed metabolic and respiratory acidosis","A","Elevated PaCO2 with low pH and minimal HCO3 elevation indicates acute respiratory acidosis.","A: Correct because renal compensation has not significantly increased HCO3. | B: Chronic would show higher HCO3. | C: HCO3 not low. | D: No evidence of dual acidosis.","pH low | PaCO2 60 | HCO3 near normal","Calling it chronic too early.","Minimal HCO3 rise = acute process.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Chronic respiratory acidosis compensation","medium","interpretation","high","ABG: pH 7.36, PaCO2 62 mm Hg, HCO3 34 mEq/L. What best describes this disorder?","Acute respiratory acidosis","Chronic compensated respiratory acidosis","Metabolic alkalosis","Mixed disorder","B","Near-normal pH with elevated PaCO2 and elevated HCO3 indicates chronic compensation.","A: Acute would have lower pH. | B: Correct because renal compensation elevated HCO3. | C: PaCO2 elevated. | D: Pattern fits chronic respiratory acidosis.","near normal pH | high CO2 | high HCO3","Ignoring compensation clues.","Normal-ish pH + high CO2 + high HCO3 = chronic.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Mixed respiratory and metabolic acidosis","hard","interpretation","high","ABG: pH 7.12, PaCO2 70 mm Hg, HCO3 20 mEq/L. What is the best interpretation?","Acute respiratory acidosis only","Metabolic acidosis only","Mixed respiratory and metabolic acidosis","Chronic respiratory acidosis","C","Severely low pH with elevated CO2 and low HCO3 indicates both respiratory and metabolic acidosis.","A: HCO3 too low for pure respiratory acidosis. | B: CO2 too high for pure metabolic acidosis. | C: Correct dual disorder. | D: HCO3 not elevated as expected in chronic.","pH 7.12 | CO2 high | HCO3 low","Forcing single-disorder answer.","Opposing CO2 and HCO3 directions signal mixed disorder.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Acute respiratory alkalosis","medium","interpretation","moderate","ABG: pH 7.50, PaCO2 30 mm Hg, HCO3 23 mEq/L. What is the primary disturbance?","Metabolic alkalosis","Acute respiratory alkalosis","Chronic respiratory alkalosis","Mixed alkalosis","B","High pH with low PaCO2 and minimal HCO3 change indicates acute respiratory alkalosis.","A: HCO3 not elevated. | B: Correct pattern. | C: Chronic would show lower HCO3. | D: No dual alkalosis evidence.","pH high | CO2 low | HCO3 normal","Ignoring compensation timing.","Low CO2 drives alkalemia acutely.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Chronic respiratory alkalosis compensation","hard","interpretation","moderate","ABG: pH 7.44, PaCO2 30 mm Hg, HCO3 19 mEq/L. What is the best interpretation?","Acute respiratory alkalosis","Chronic respiratory alkalosis","Metabolic acidosis","Mixed disorder","B","Near-normal pH with low PaCO2 and reduced HCO3 indicates chronic respiratory alkalosis with renal compensation.","A: Acute would have near-normal HCO3. | B: Correct compensated pattern. | C: pH not acidemic. | D: Compensation explains pattern.","near normal pH | low CO2 | low HCO3","Calling compensation a mixed disorder.","Opposite shift in HCO3 suggests chronic compensation.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Metabolic acidosis with respiratory compensation","medium","interpretation","high","ABG: pH 7.30, PaCO2 30 mm Hg, HCO3 15 mEq/L. What is the primary disorder?","Metabolic acidosis with respiratory compensation","Respiratory alkalosis","Mixed metabolic acidosis and respiratory alkalosis","Chronic respiratory acidosis","A","Low HCO3 with low pH indicates metabolic acidosis; low CO2 reflects compensatory hyperventilation.","A: Correct compensation pattern. | B: HCO3 too low for primary respiratory alkalosis. | C: CO2 change matches compensation. | D: CO2 not elevated.","low HCO3 | low CO2 | pH low","Calling compensation a second disorder.","Match primary change with pH direction.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Metabolic alkalosis with compensation","medium","interpretation","moderate","ABG: pH 7.48, PaCO2 48 mm Hg, HCO3 34 mEq/L. What is the primary disorder?","Metabolic alkalosis with respiratory compensation","Respiratory acidosis","Mixed acidosis","Acute respiratory alkalosis","A","Elevated HCO3 with alkalemia indicates metabolic alkalosis; elevated CO2 reflects compensatory hypoventilation.","A: Correct. | B: HCO3 elevation suggests metabolic origin. | C: pH not acidemic. | D: CO2 elevated not low.","high HCO3 | high CO2 | pH high","Missing compensatory hypoventilation.","HCO3 drives pH upward here.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Ventilator-induced hyperventilation recognition","medium","decision-making","high","A ventilated patient has ABG: pH 7.55, PaCO2 25 mm Hg. Which ventilator adjustment is most appropriate?","Increase respiratory rate","Decrease respiratory rate","Increase tidal volume","Increase FiO2","B","Low PaCO2 with alkalemia indicates overventilation; decreasing rate reduces minute ventilation.","A: Would worsen alkalosis. | B: Correct because it reduces CO2 elimination. | C: Would further reduce CO2. | D: Oxygenation not primary issue.","pH 7.55 | CO2 25","Increasing support during alkalosis.","Control minute ventilation to correct CO2.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Acute on chronic respiratory acidosis","hard","interpretation","high","ABG: pH 7.25, PaCO2 78 mm Hg, HCO3 36 mEq/L. What best describes this disorder?","Chronic respiratory acidosis","Acute respiratory acidosis","Acute on chronic respiratory acidosis","Metabolic alkalosis","C","Elevated HCO3 suggests chronic retention, but low pH indicates acute worsening on top of chronic baseline.","A: pH too low for fully compensated chronic. | B: HCO3 too high for purely acute. | C: Correct mixed timing interpretation. | D: CO2 elevated, not metabolic origin.","high CO2 | high HCO3 | low pH","Missing acute deterioration on chronic pattern.","Compensation present but insufficient = acute on chronic.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Uncompensated metabolic acidosis with inadequate ventilation","hard","interpretation","moderate","ABG: pH 7.18, PaCO2 50 mm Hg, HCO3 18 mEq/L. What is the best interpretation?","Metabolic acidosis with appropriate compensation","Metabolic acidosis with inadequate ventilatory compensation","Respiratory acidosis only","Chronic respiratory acidosis","B","Metabolic acidosis should cause low CO2 as compensation; elevated CO2 indicates inadequate ventilation.","A: CO2 should be low if compensation appropriate. | B: Correct because ventilation is failing to compensate. | C: HCO3 low indicates metabolic origin. | D: HCO3 not elevated.","pH 7.18 | HCO3 18 | CO2 50","Assuming compensation is always present.","If CO2 not appropriately low, ventilation inadequate.","single best answer: yes; physiology accurate: yes; no repeat: yes"
