category,sub_concept,difficulty,cognitive_level,exam_priority,stem,option_a,option_b,option_c,option_d,correct_answer,rationale_correct,rationale_why_others_wrong,keywords_to_notice,common_trap,exam_logic,qa_summary
"Ventilation","Elevated peak pressure with normal plateau","medium","interpretation","high","A ventilated patient develops an increase in peak inspiratory pressure from 28 to 42 cm H2O. Plateau pressure remains 24 cm H2O. What is the most likely cause?","Decreased lung compliance","Bronchospasm or increased airway resistance","Pneumothorax","Pulmonary edema","B","An increase in peak pressure with unchanged plateau pressure indicates increased airway resistance rather than decreased compliance.","A: Would increase both peak and plateau. | B: Correct because only peak rises with resistance issues. | C: Typically raises plateau pressure. | D: Decreases compliance and raises plateau.","peak high | plateau unchanged","Confusing resistance with compliance.","Peak–plateau difference reflects airway resistance.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Elevated peak and plateau pressures","medium","interpretation","high","Peak inspiratory pressure rises from 25 to 40 cm H2O and plateau pressure rises from 22 to 38 cm H2O. What does this suggest?","Increased airway resistance only","Improved lung compliance","Decreased lung compliance","Endotracheal tube obstruction","C","Both peak and plateau increasing indicates decreased lung compliance.","A: Resistance would not significantly raise plateau. | B: Compliance worsening, not improving. | C: Correct. | D: Tube obstruction increases peak but not plateau substantially.","both peak and plateau high","Looking only at peak pressure.","Plateau reflects alveolar pressure and compliance.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Auto-PEEP recognition","medium","interpretation","high","A patient with severe asthma on volume control ventilation has expiratory flow that does not return to baseline before the next breath. What does this indicate?","Inadequate tidal volume","Auto-PEEP from air trapping","Low FiO2","Ventilator malfunction","B","Failure of expiratory flow to return to baseline indicates incomplete exhalation and dynamic hyperinflation.","A: VT not primary issue. | B: Correct due to air trapping. | C: Oxygen issue not flow waveform. | D: Pattern consistent with physiology not malfunction.","flow not returning to baseline","Ignoring waveform clues.","Flow-time curve identifies air trapping.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Managing auto-PEEP","medium","decision-making","high","A ventilated COPD patient has evidence of auto-PEEP. Which adjustment best reduces dynamic hyperinflation?","Increase respiratory rate","Decrease expiratory time","Decrease respiratory rate","Increase tidal volume","C","Reducing respiratory rate increases expiratory time and allows more complete exhalation.","A: Would worsen air trapping. | B: Shortens expiration further. | C: Correct. | D: Larger VT worsens hyperinflation.","auto-PEEP | COPD | adjustment","Increasing rate during air trapping.","Give more time to exhale.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Weaning readiness ABG","medium","decision-making","moderate","A stable ventilated patient has ABG: pH 7.40, PaCO2 42 mm Hg, PaO2 85 mm Hg on FiO2 0.40 with PEEP 5 cm H2O. Hemodynamics are stable. What is the next step?","Increase ventilator support","Initiate spontaneous breathing trial","Increase FiO2","Sedate further","B","Acceptable oxygenation and ventilation with minimal settings suggest readiness for SBT.","A: No failure present. | B: Correct readiness criteria. | C: Oxygenation adequate. | D: Sedation delays weaning.","stable ABG | low support","Over-supporting stable patient.","Assess readiness when gas exchange acceptable.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Rapid shallow breathing index interpretation","medium","interpretation","high","A patient undergoing spontaneous breathing trial has respiratory rate 30 per minute and tidal volume 250 mL. What does the RSBI indicate?","Successful weaning likely","Weaning failure likely","Normal ventilatory pattern","Immediate extubation required","B","RSBI = 30 / 0.25 = 120. Values greater than 105 predict weaning failure.","A: RSBI too high. | B: Correct. | C: Pattern indicates rapid shallow breathing. | D: Extubation not indicated.","RSBI calculation | 30 and 250 mL","Forgetting to convert mL to liters.","RSBI >105 predicts failure.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Permissive hypercapnia strategy","hard","decision-making","moderate","An ARDS patient on lung protective ventilation has PaCO2 55 mm Hg and pH 7.32. Which approach is most appropriate?","Increase tidal volume to normalize CO2","Accept mild hypercapnia to maintain lung protection","Increase rate aggressively to normalize CO2 regardless of pressures","Decrease PEEP","B","Permissive hypercapnia is acceptable to prevent ventilator-induced lung injury.","A: Increases lung injury risk. | B: Correct protective strategy. | C: Excessive rate may worsen air trapping. | D: PEEP unrelated to CO2 clearance.","ARDS | mild hypercapnia | protective ventilation","Chasing normal CO2 at expense of lung injury.","Protect lung first, tolerate mild CO2 elevation.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","CO2 retention cause differentiation","medium","interpretation","high","A patient has rising PaCO2 with unchanged tidal volume but reduced respiratory rate. What is the most likely cause?","Increased dead space","Decreased minute ventilation","Metabolic acidosis","Increased hemoglobin","B","Reduced respiratory rate lowers minute ventilation, causing CO2 retention.","A: Dead space not indicated by stem. | B: Correct because minute ventilation decreased. | C: Would lower CO2 via compensation. | D: Hemoglobin unrelated to CO2 elimination.","reduced rate | rising CO2","Ignoring minute ventilation math.","CO2 retention tracks with minute ventilation.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Dead space ventilation concept","hard","interpretation","moderate","A ventilated patient has normal minute ventilation but elevated PaCO2. What is the most likely explanation?","Increased dead space ventilation","Excessive tidal volume","Respiratory alkalosis","Improved perfusion","A","Normal minute ventilation with elevated CO2 suggests increased physiologic dead space.","A: Correct. | B: Would lower CO2. | C: CO2 not low. | D: Improved perfusion would not raise CO2.","normal minute ventilation | high CO2","Assuming minute ventilation equals alveolar ventilation.","Dead space reduces effective CO2 elimination.","single best answer: yes; physiology accurate: yes; no repeat: yes"
"Ventilation","Pressure support adjustment","medium","decision-making","moderate","A patient on pressure support ventilation shows large accessory muscle use and tidal volumes of 200 mL. What adjustment is most appropriate?","Decrease pressure support","Increase pressure support","Decrease FiO2","Increase PEEP","B","Low tidal volumes with high effort indicate inadequate pressure support.","A: Would worsen distress. | B: Correct to augment ventilation. | C: Oxygenation not primary issue. | D: PEEP does not directly increase tidal volume on PSV.","low VT | high effort","Reducing support during distress.","Increase support when tidal volume inadequate.","single best answer: yes; physiology accurate: yes; no repeat: yes"
